chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
2	153	2071	5	68.5449936389923	0	0	1	18	0	0	1	18	0	0	1	18
2	154	1045	5	7.17644381523132	0	0	2	39	0	0	1	7	0	0	1	32
2	161	2827	5	196.809805393219	0	0	2	127	0	0	2	127	0	0	0	0
2	166	4478	5	767.125517368317	0	0	1	9	0	0	1	9	0	0	0	0
2	171	2321	5	112.245467424393	0	0	1	21	0	0	1	21	0	0	1	21
2	176	2663	5	128.213402032852	0	0	1	7	0	0	1	7	0	0	0	0
2	180	1196	5	14.4590463638306	0	1	1	9	0	1	1	9	0	0	0	0
2	186	3046	5	247.914231061935	0	0	0	0	0	0	0	0	0	0	0	0
2	190	6432	5	1954.75470662117	0	1	1	5	0	1	1	5	0	1	1	5
2	195	4328	5	686.513824462891	0	0	1	133	0	0	1	133	0	0	0	0
2	196	2829	5	189.246260881424	0	0	3	208	0	0	2	101	0	0	2	175
2	197	2172	5	91.4806885719299	0	0	3	195	0	0	3	195	0	0	3	195
2	204	1620	5	37.2103631496429	0	0	0	0	0	0	0	0	0	0	0	0
2	205	1168	5	13.3288590908051	0	0	1	42	0	0	1	42	0	0	1	42
2	210	1221	5	9.66739153862	0	0	0	0	0	0	0	0	0	0	0	0
2	211	1918	5	66.9407987594604	0	0	0	0	0	0	0	0	0	0	0	0
2	213	3663	5	422.653825283051	0	0	1	45	0	0	1	45	0	0	0	0
2	228	1564	5	31.60071849823	0	0	1	34	0	0	1	34	0	0	1	34
2	232	1279	5	16.6834132671356	0	0	0	0	0	0	0	0	0	0	0	0
2	234	1931	5	62.9805088043213	0	0	1	132	0	0	1	132	0	0	1	132
2	241	1061	5	13.3803689479828	0	0	1	48	0	0	1	48	0	0	0	0
2	247	605	5	1.91650414466858	0	0	1	36	0	0	1	36	0	0	1	36
3	1	6217	5	1824.55503988266	0	1	1	5	0	1	1	5	0	0	0	0
3	22	954	5	4.40646982192993	0	0	0	0	0	0	0	0	0	0	0	0
3	32	2143	5	87.4372186660767	0	0	1	10	0	0	1	10	0	0	0	0
3	35	2412	5	124.648728847504	0	0	0	0	0	0	0	0	0	0	0	0
3	37	737	5	2.74713253974915	0	0	0	0	0	0	0	0	0	0	0	0
3	38	1639	5	39.283383846283	0	0	0	0	0	0	0	0	0	0	0	0
3	39	3321	5	280.701661348343	0	0	1	27	0	0	1	27	0	0	1	27
3	40	1174	5	10.2223851680756	0	0	0	0	0	0	0	0	0	0	0	0
3	41	2438	5	104.624595165253	0	0	0	0	0	0	0	0	0	0	0	0
3	42	2107	5	83.7694640159607	0	0	0	0	0	0	0	0	0	0	0	0
3	45	1074	5	6.57806205749512	0	0	0	0	0	0	0	0	0	0	0	0
3	48	2011	5	71.9217450618744	0	0	1	47	0	0	1	47	0	0	0	0
3	49	2932	5	223.700298070908	0	0	0	0	0	0	0	0	0	0	0	0
3	53	3181	5	288.495138645172	0	0	1	54	0	0	0	0	0	0	0	0
3	55	1008	5	7.76841402053833	0	0	1	16	0	0	1	16	0	0	0	0
3	56	1283	5	20.479419708252	0	0	1	28	0	0	1	28	0	0	1	28
3	60	2804	5	201.866028785706	0	0	1	43	0	0	0	0	0	0	1	43
3	61	1415	5	31.4209015369415	0	0	1	16	0	0	1	16	0	0	0	0
3	63	5283	5	1187.24988436699	0	1	3	74	0	1	3	74	0	1	2	15
3	74	1365	5	19.5891244411469	0	0	1	7	0	0	1	7	0	0	0	0
3	81	1239	5	12.6944670677185	0	0	1	18	0	0	1	18	0	0	0	0
3	88	2228	5	107.735790729523	0	0	0	0	0	0	0	0	0	0	0	0
3	89	1268	5	20.9736671447754	0	1	0	0	0	1	0	0	0	1	0	0
3	96	1707	5	46.2949774265289	0	0	0	0	0	0	0	0	0	0	0	0
3	99	5017	5	1009.87145805359	0	0	1	292	0	0	1	292	0	0	1	292
3	101	8454	5	3133.50575613976	0	0	1	159	0	0	0	0	0	0	0	0
3	108	1471	5	26.4721994400024	0	0	0	0	0	0	0	0	0	0	0	0
3	109	4533	5	545.105159521103	0	0	1	247	0	0	0	0	0	0	1	247
3	119	3568	5	398.153334140778	0	0	1	28	0	0	1	28	0	0	0	0
3	120	1839	5	54.3693070411682	0	0	0	0	0	0	0	0	0	0	0	0
3	131	735	5	1.38956594467163	0	0	1	164	0	0	1	164	0	0	0	0
3	140	2455	5	121.447582483292	0	0	1	51	0	0	1	51	0	0	1	51
3	165	2688	5	169.530338287354	0	0	1	62	0	0	1	62	0	0	0	0
3	166	7625	5	2775.78270363808	0	0	1	129	0	0	1	129	0	0	1	129
3	182	732	5	3.32508230209351	0	0	0	0	0	0	0	0	0	0	0	0
3	185	828	5	2.81141042709351	0	0	0	0	0	0	0	0	0	0	0	0
3	187	2047	5	78.8284769058228	0	1	1	80	0	1	1	80	0	0	1	80
3	193	2263	5	106.53538441658	0	0	0	0	0	0	0	0	0	0	0	0
3	195	3951	5	501.470080852509	0	0	1	5	0	0	1	5	0	0	1	5
3	204	2762	5	191.419658184052	0	0	0	0	0	0	0	0	0	0	0	0
3	216	1045	5	11.188191652298	0	0	0	0	0	0	0	0	0	0	0	0
4	1	5580	5	1378.42826080322	1	1	1	1	1	1	1	1	0	1	1	1
4	4	1531	5	31.924036026001	0	0	0	0	0	0	0	0	0	0	0	0
4	33	2862	5	224.504019260406	0	0	1	122	0	0	1	122	0	0	1	122
4	36	1543	5	14.7915515899658	0	0	1	20	0	0	1	20	0	0	0	0
4	37	1072	5	5.01276397705078	0	0	1	5	0	0	0	0	0	0	1	5
4	43	873	5	3.28722715377808	0	1	2	54	0	1	2	54	0	0	0	0
4	46	2232	5	96.5909802913666	0	0	0	0	0	0	0	0	0	0	0	0
4	48	2303	5	108.884964942932	0	0	0	0	0	0	0	0	0	0	0	0
4	52	3153	5	281.049781560898	0	0	1	232	0	0	1	232	0	0	1	232
4	54	4959	5	759.167369365692	0	0	1	6	0	0	1	6	0	0	0	0
4	63	4876	5	784.282376289368	0	0	2	167	0	0	2	167	0	0	0	0
4	64	4021	5	422.855283737183	0	0	0	0	0	0	0	0	0	0	0	0
4	66	1662	5	43.475745677948	0	0	0	0	0	0	0	0	0	0	0	0
4	76	3220	5	239.546995639801	0	0	0	0	0	0	0	0	0	0	0	0
