pheno	db	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
LDL	META	1	192	1162	5	647.766880989075	0	0	1	27	0	0	1	27	0	0	0	0	0	0	0	0
LDL	META	1	201	929	5	1299.0876584053	0	0	2	16	0	0	2	16	0	0	1	5	0	0	2	16
LDL	META	1	202	1155	5	752.792706727982	0	1	1	5	0	1	1	5	0	0	0	0	0	0	0	0
LDL	META	1	205	468	5	19.3036041259766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	213	608	5	6.74481678009033	0	0	1	5	0	0	1	5	0	0	0	0	0	0	0	0
LDL	META	1	214	569	5	14.4703950881958	0	1	1	2	0	1	1	2	0	0	0	0	0	1	1	2
LDL	META	1	216	1142	5	352.946055173874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	221	1231	5	329.566960096359	0	0	1	6	0	0	1	6	0	0	0	0	0	0	0	0
LDL	META	1	223	1283	5	233.417731046677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	226	507	5	212.312115430832	0	0	1	13	0	0	1	13	0	0	0	0	0	0	0	0
LDL	META	1	233	1550	5	314.81009554863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	234	1779	5	533.240816116333	1	3	3	8	1	2	2	4	1	2	2	5	1	2	2	4
LDL	META	1	238	2312	5	929.86919760704	0	0	2	14	0	0	2	14	0	0	0	0	0	0	0	0
LDL	META	1	239	621	5	1254.09878897667	0	0	2	22	0	0	2	22	0	0	0	0	0	0	1	3
LDL	META	1	252	568	10	515.183679819107	1	5	6	20	1	5	6	20	1	3	4	8	0	3	4	11
LDL	META	1	253	170	5	87.7382078170776	0	2	1	2	0	2	1	2	0	1	1	2	0	1	1	2
LDL	META	1	254	775	5	255.040531635284	0	1	1	3	0	1	1	3	0	1	1	3	0	1	1	3
LDL	META	1	255	649	5	561.945207357407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	280	2070	5	1743.16021347046	0	0	1	13	0	0	1	13	0	0	0	0	0	0	1	13
LDL	META	2	6	627	5	325.497151613235	0	1	1	2	0	1	1	2	0	0	0	0	0	0	1	2
LDL	META	2	19	258	5	276.233581066132	0	0	1	10	0	0	1	10	0	0	0	0	0	0	0	0
LDL	META	2	21	273	5	264.010313034058	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	3
LDL	META	2	27	383	5	447.400192499161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	34	1441	5	1777.53859496117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	37	526	5	371.420910358429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	38	1200	5	188.708520889282	0	1	2	7	0	1	2	7	0	1	2	7	0	1	2	7
LDL	META	2	39	576	5	6.63654184341431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	40	1838	5	566.136545419693	0	0	1	3	0	0	0	0	0	0	1	3	0	0	1	3
LDL	META	2	41	813	5	300.317369937897	1	1	3	20	1	1	3	20	1	1	2	4	1	1	2	17
LDL	META	2	42	164	5	61.5279901027679	1	3	2	6	0	2	2	6	1	2	1	1	0	0	0	0
LDL	META	2	43	182	5	375.998471260071	1	2	3	16	1	2	3	16	0	1	0	0	0	0	0	0
LDL	META	2	44	604	15	3162.72112202644	9	14	14	29	7	11	11	25	6	10	11	16	2	8	9	24
LDL	META	2	45	1262	5	651.567815065384	1	2	4	16	1	1	3	11	1	2	4	16	0	1	2	6
LDL	META	2	46	669	5	271.255593538284	0	1	1	2	0	1	1	2	0	1	1	2	0	0	1	2
LDL	META	2	47	1479	5	1219.89357542992	0	1	2	10	0	1	1	4	1	1	2	6	1	1	2	6
LDL	META	2	48	784	5	674.465816020966	0	1	1	21	0	0	1	21	0	1	0	0	0	0	0	0
LDL	META	2	49	1060	10	407.154900074005	2	2	4	33	2	2	4	33	2	2	2	2	1	2	2	2
LDL	META	2	50	987	5	602.946906805038	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LDL	META	2	51	1213	5	1233.88312315941	0	0	1	16	0	0	0	0	0	0	1	16	0	0	0	0
LDL	META	2	53	868	5	346.424960136414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	69	1510	5	2295.48959350586	0	1	1	2	0	1	1	2	0	0	0	0	0	0	0	0
LDL	META	2	71	938	10	901.551966667175	5	7	8	18	5	7	8	18	5	5	7	16	1	1	1	1
LDL	META	2	72	1864	5	168.251603364944	3	4	4	6	3	4	4	6	1	2	2	2	1	1	1	1
LDL	META	2	74	714	5	96.3214004039764	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LDL	META	2	75	956	5	414.412137031555	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
LDL	META	2	77	801	5	318.793609619141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	84	4135	5	2711.03512573242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	86	1445	5	1985.10752773285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	87	496	5	141.25201177597	0	0	1	5	0	0	1	5	0	0	0	0	0	0	0	0
LDL	META	2	88	3826	10	4728.082218647	1	3	6	75	1	3	6	75	1	2	2	4	1	3	4	18
LDL	META	2	89	769	5	974.231230735779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	97	1377	5	570.59192609787	0	0	1	7	0	0	1	7	0	0	0	0	0	0	0	0
LDL	META	2	99	739	5	1143.80336785316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	100	740	5	380.381948232651	0	0	1	28	0	0	1	28	0	0	0	0	0	0	0	0
LDL	META	2	115	1746	5	550.414168357849	0	1	1	2	0	1	1	2	0	0	0	0	0	0	1	2
LDL	META	2	121	1496	5	255.094768285751	0	0	1	10	0	0	1	10	0	0	1	10	0	0	1	10
LDL	META	2	122	652	5	1255.55355453491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	124	1118	5	1236.81460952759	0	1	1	10	0	1	1	10	0	0	0	0	0	0	0	0
LDL	META	2	127	2279	5	1218.4994764328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	128	1689	5	1450.87910556793	1	2	3	7	1	2	3	7	0	0	1	4	0	0	1	2
LDL	META	2	130	231	5	170.596462488174	0	0	1	5	0	0	1	5	0	0	0	0	0	0	0	0
LDL	META	2	131	62	5	155.953996658325	2	2	2	2	2	2	2	2	0	0	0	0	0	1	1	1
LDL	META	2	138	1578	5	1682.2206132412	0	0	1	19	0	0	1	19	0	0	0	0	0	0	1	19
LDL	META	2	145	828	5	12.3520872592926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	146	1521	5	2005.4722006321	1	1	3	10	1	1	3	10	0	0	1	4	0	1	2	5
LDL	META	2	147	2818	5	1572.55298781395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	152	858	5	535.66268491745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	162	489	5	123.787227630615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	163	145	5	15.8998718261719	0	0	2	13	0	0	2	13	0	0	1	4	0	0	0	0
LDL	META	2	166	2385	5	1323.33601999283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	168	1027	5	304.629262685776	0	0	1	3	0	0	1	3	0	0	0	0	0	0	0	0
LDL	META	2	172	373	5	39.7371673583984	0	0	1	5	0	0	1	5	0	0	1	5	0	0	1	5
LDL	META	2	177	1642	5	1748.69142842293	0	1	1	3	0	1	1	3	0	0	0	0	0	1	1	3
LDL	META	2	181	1454	5	411.76616024971	0	1	1	4	0	1	1	4	0	0	0	0	0	0	0	0
LDL	META	2	184	2220	5	993.392105102539	0	0	1	32	0	0	1	32	0	0	0	0	0	0	0	0
LDL	META	2	192	1585	5	627.342784881592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	198	722	5	349.259058713913	0	0	1	27	0	0	1	27	0	0	0	0	0	0	0	0
LDL	META	2	199	1503	5	195.278332233429	0	0	3	20	0	0	3	20	0	0	0	0	0	0	2	11
LDL	META	2	205	719	5	158.332200288773	0	0	1	17	0	0	1	17	0	0	0	0	0	0	0	0
LDL	META	2	208	1706	5	955.271912336349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	212	1311	5	998.495307683945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	213	2714	5	1957.54618191719	0	1	2	18	0	1	2	18	0	0	0	0	0	1	1	3
LDL	META	2	217	618	5	131.711587667465	0	0	2	94	0	0	2	94	0	0	0	0	0	0	1	42
LDL	META	2	232	675	5	269.12788772583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	237	1072	5	416.260733604431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	240	998	5	10.1451733112335	0	0	1	20	0	0	1	20	0	0	0	0	0	0	0	0
LDL	META	2	242	1148	5	455.607305288315	0	1	2	9	0	1	2	9	0	1	0	0	0	1	1	2
LDL	META	2	250	2484	5	1251.13696718216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	256	790	5	289.487818956375	0	0	1	19	0	0	1	19	0	0	0	0	0	0	1	19
LDL	META	3	24	1401	10	1369.68238663673	1	1	5	72	1	1	5	72	0	1	2	7	0	1	2	42
LDL	META	3	41	1908	5	437.473927259445	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0
LDL	META	3	43	1142	5	227.998199701309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	3	51	632	5	214.749255657196	0	1	1	2	0	1	1	2	0	1	1	2	0	0	0	0
LDL	META	3	56	860	5	1507.07075476646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	3	70	1558	5	560.152327537537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	3	71	1256	5	860.70684671402	1	2	4	35	1	2	4	35	0	0	0	0	0	0	0	0
LDL	META	3	83	2393	5	687.807938814163	0	0	1	22	0	0	1	22	0	0	0	0	0	0	0	0
LDL	META	3	88	1506	5	143.941647768021	0	1	1	5	0	1	1	5	0	0	1	5	0	1	1	5
LDL	META	3	89	1164	5	573.653518676758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	3	104	2776	5	1195.26089382172	0	0	2	65	0	0	2	65	0	0	0	0	0	0	0	0
LDL	META	3	107	1040	5	150.098375797272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	3	109	2234	5	771.711192131042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	3	120	1092	5	487.497318983078	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1
LDL	META	3	121	1234	5	737.323462724686	0	0	2	29	0	0	2	29	0	0	0	0	0	0	1	16
