chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
1	2	515	1.0058262075428206	0.04687630494953901	4.984058462207095e-4	5500	21.5493204593658	3.661491816332965e-5	3.631630412374073e-5	0	0	0	0	5.025634351364558e-4	2.466080251844586e-4	0	0	1	113
1	5	1414	1.021975868195393	0.032833866877505315	0.003791988875900997	5500	161.684073448181	4.574266534694492e-4	1.207151671389434e-4	0	0	1	10	2.96202315276277e-4	1.7269352921006352e-4	0	0	0	0
1	15	2185	1.0255826221391113	0.02548027039450574	7.396591857086825e-4	5500	366.195758581161	3.3434798113392327e-4	9.838397134925672e-5	0	0	1	62	2.0289004019034048e-4	1.1196943483714498e-4	0	0	0	0
1	17	2873	1.0374651133812052	0.05121047663669211	0.0010308242566353302	5500	594.577703714371	4.564400494376435e-4	1.1632028141702831e-4	0	0	0	0	7.119061453592677e-4	2.997580872220654e-4	0	0	0	0
1	32	818	1.0099300679558958	0.03333323156356893	0.0018604049322677773	5500	56.9806694984436	2.0672441901878552e-4	8.753247912762962e-5	0	0	0	0	2.9591842023758995e-4	1.9481127145862777e-4	0	0	0	0
1	52	3025	1.0202008758643857	0.042501975195421836	0.0016335668920795764	5500	609.030148506165	3.487374914161981e-4	1.0507951296882456e-4	0	0	1	106	7.18934544791792e-4	2.924544168104858e-4	0	0	1	92
1	53	2706	1.0177939856158675	0.05230151632988966	0.003965830425725842	5500	559.250185012817	5.398781495191124e-4	1.309078544702918e-4	0	0	0	0	7.529327901725643e-4	3.169726560355982e-4	0	0	1	68
1	55	2063	1.0196074628967764	0.03941665155266935	0.004304792450194836	5500	272.912419557571	5.224676399377792e-4	1.2579525042711082e-4	0	0	1	8	8.941316965950474e-4	3.5118513621178616e-4	0	0	0	0
1	63	2350	1.014387160321738	0.03620054271563781	0.0015610897582368178	5500	309.012998819351	4.0661170945915026e-4	1.1933651831640652e-4	0	0	2	193	5.476644719524216e-4	2.384378876203782e-4	0	0	0	0
1	68	1050	1.0147475742536276	0.031041450956917863	8.540902119510382e-4	5500	83.0853214263916	2.0615073507903423e-4	8.138628437711678e-5	0	0	0	0	2.7153083724109847e-4	1.8626753711277057e-4	0	0	0	0
1	70	2504	1.0132104798968127	0.03299042299416363	0.0012198926211735117	5500	421.706269264221	2.9099200881051304e-4	9.827747773138904e-5	0	0	0	0	3.062510978375616e-4	1.681686238093712e-4	0	0	0	0
1	72	1773	1.0193680125565059	0.03398706993940301	0.0022025018758008172	5500	265.4661257267	3.3491917528210115e-4	1.0682529162169697e-4	0	0	0	0	3.1841859434376404e-4	1.7566711659983852e-4	0	0	0	0
1	74	2775	1.021273250333078	0.04378899528859315	9.632528935684169e-4	5500	544.613240718842	7.333626439462524e-4	1.5181341439130246e-4	0	0	0	0	9.203345067351706e-4	3.3091341544792585e-4	0	0	0	0
1	92	2495	1.0246444588186319	0.03048537876803882	7.394089921197168e-4	5500	428.585216283798	4.4194494206951603e-4	1.165172636170421e-4	0	0	1	104	3.654711037029052e-4	1.96342213544532e-4	0	0	0	0
1	100	2729	1.019186390682051	0.04147819664884469	0.0010342398934547665	5500	563.720480203629	4.278338477940335e-4	1.1342634264289609e-4	0	0	2	67	7.055636554986358e-4	2.788801645580633e-4	0	0	0	0
1	105	6570	1.0181321518830666	0.046460862856592344	6.864188767024966e-4	5500	3277.71976327896	0.0011019824597082691	1.8420232231022664e-4	0	0	2	252	0.0012196549431539065	3.6670733858530603e-4	0	0	0	0
1	115	2566	1.0177730323017005	0.04288171846938833	5.859037115788687e-4	5500	489.718123912811	3.896208492158082e-4	1.0861590746012105e-4	0	0	0	0	5.644189438864184e-4	2.5310290021542304e-4	0	0	0	0
1	117	1516	1.018552848392018	0.02879077774592347	6.15312183564232e-4	5500	196.490668773651	1.9360977168764423e-4	7.61987692491029e-5	0	0	0	0	1.9667980839127108e-4	1.2565119199575096e-4	0	0	0	0
1	125	4531	1.0215452161513732	0.030378903568914924	0.0014838443878726732	5500	1462.21876764297	3.299956464159436e-4	9.529500269599564e-5	0	0	1	88	3.893610322622812e-4	1.759439938214368e-4	0	0	0	0
1	127	2203	1.060584888191599	0.035883090276567255	0.0025483208618959836	5500	350.302520275116	4.940713812349585e-4	1.3216633810796287e-4	0	0	0	0	4.3672909201505233e-4	2.144259524824186e-4	0	0	0	0
1	128	3921	1.0319292112478775	0.04614231519550912	0.0017226020979835797	5500	1138.27919197083	0.0011307836679831317	1.9130816307462564e-4	0	0	3	365	0.0010135967512981453	3.723931163259413e-4	0	0	0	0
1	129	1182	1.0305642443360568	0.046457944813446984	0.0010292098962746941	5500	120.824645042419	8.511575109129054e-4	1.646791280407849e-4	0	0	1	95	2.1445724688918787e-4	1.4838041629295542e-4	0	0	0	0
1	141	1525	1.023596112936836	0.06520104854698651	0.0010328588037755867	5500	188.948008060455	2.621433085336065e-4	8.966380219379224e-5	0	0	0	0	5.884545326320295e-4	2.7233993343033164e-4	0	0	0	0
1	147	2735	1.0184778847994442	0.03931762498334643	0.0011780070102188154	5500	518.36324763298	6.614225462861941e-4	1.4800442816595465e-4	0	0	0	0	3.513466568814028e-4	1.8628134637210076e-4	0	0	0	0
1	154	4151	1.0148659333626981	0.043055542651814674	5.580114710616048e-4	5500	1255.40585613251	5.317014992316572e-4	1.255194720237302e-4	0	0	2	216	6.828223982996678e-4	2.7584540212456275e-4	0	0	1	177
1	156	2056	1.0169427108613471	0.04462257475152872	7.418369337725127e-4	5500	343.798597812653	4.552933736803599e-4	1.2124276831100587e-4	0	0	1	109	9.174453876120626e-4	3.4019684042643317e-4	0	0	0	0
1	158	1779	1.0285774676996995	0.05353732096706049	0.002054762497644349	5500	253.755694627762	4.2505074988296454e-4	1.241762247891289e-4	0	0	1	80	5.579977927292968e-4	2.964610572617127e-4	0	0	0	0
1	166	930	1.0184940744198054	0.030825918135063857	5.854073559093095e-4	5500	73.2037091255188	1.7385475823517528e-4	7.425999795798264e-5	0	0	1	84	1.952472796786457e-4	1.3745598868303925e-4	0	0	0	0
1	170	2598	1.0167538470078117	0.029713441970310957	3.744492999872043e-4	5500	442.254155635834	2.5779420808856894e-4	8.350461051477788e-5	0	0	1	87	2.3956344442897033e-4	1.3423765951185775e-4	0	0	0	0
1	175	3940	1.021464603334183	0.028550442742884267	0.0012024701016428553	5500	1027.68836545944	3.8688298373771153e-4	1.1203175259979849e-4	0	0	0	0	3.730960114208547e-4	1.722397250661582e-4	0	0	0	0
1	183	4661	1.0240908506208293	0.04878499562874014	4.758582154740335e-4	5500	1967.02302217484	5.338511050803647e-4	1.251391541185397e-4	0	0	1	63	7.087986418119263e-4	2.6903044870365167e-4	0	0	0	0
1	185	1366	1.0083164121195627	0.02886543475762592	6.679943380345403e-4	5500	164.200298309326	1.9177365318315715e-4	7.657564088951346e-5	0	0	1	59	1.5179838908765034e-4	1.112425882540672e-4	0	0	0	0
1	186	2556	1.0490905748177284	0.03827460356623362	0.002609157913066809	5500	464.955639839172	6.61116009529374e-4	1.4580493656011896e-4	0	0	1	34	3.941736726081982e-4	1.9465675935122562e-4	0	0	0	0
1	187	2561	1.0415410487762646	0.03357929432151857	0.005987048764378272	5500	460.607674360275	4.278905120947008e-4	1.23103038300295e-4	0	0	0	0	3.329766285964351e-4	1.821956462263951e-4	0	0	0	0
1	188	4015	1.0146580883872804	0.05055352720481177	8.641076012889563e-4	5500	1154.25165653229	2.554334511001405e-4	8.398705311111108e-5	0	0	0	0	6.979391987191656e-4	2.6904931199070036e-4	0	0	0	0
1	192	3058	1.0190367726654657	0.037224345875440136	0.0022639935569384556	5500	772.095692157745	4.5528181567715834e-4	1.2857457983999325e-4	0	0	0	0	5.98899789162117e-4	2.500684811095451e-4	0	0	0	0
1	198	6558	1.0286304796756964	0.0389293414429292	4.811982361110247e-4	5500	3877.13918495178	6.142616971656711e-4	1.3710763307556867e-4	0	0	0	0	0.0010125010421186305	3.2005605385303736e-4	0	0	0	0
1	201	3056	1.0138488064244697	0.038809237195475244	9.439938230979669e-4	5500	654.941576242447	4.1786097187804873e-4	1.1447353401237928e-4	0	0	0	0	5.230832476602996e-4	2.3647143084634429e-4	0	0	0	0
1	204	2286	1.0307362064624346	0.04225926721235918	0.001071450314033835	5500	371.826382637024	6.570921316506579e-4	1.4920876042753717e-4	0	0	1	46	5.26444130471297e-4	2.481837962090181e-4	0	0	0	0
1	213	1429	1.0187703764010232	0.03512106059965893	5.902992758867263e-4	5500	155.321299552917	2.716266312546458e-4	9.56998161940093e-5	0	0	0	0	1.9627738262622006e-4	1.3517694929891328e-4	0	0	0	0
1	216	2679	1.0207816673805472	0.03760402990792343	8.593048493690316e-4	5500	495.531545639038	4.027818735111879e-4	1.1147407636817315e-4	0	0	2	93	4.7993945227112206e-4	2.235324700450715e-4	0	0	0	0
