pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	2	241	1206	5	3.12377572059631	0	0	0	0
EAS	2	247	730	5	3.29506182670593	0	0	0	0
EAS	3	1	6647	5	95.4196271896362	0	0	0	0
EAS	3	22	1123	5	4.42490124702454	0	0	0	0
EAS	3	32	3102	5	18.9757723808289	0	0	0	0
EAS	3	35	2795	5	18.1816096305847	0	0	0	0
EAS	3	37	770	5	2.44352531433105	0	0	0	0
EAS	3	38	1733	5	6.94213318824768	0	0	0	0
EAS	3	39	4010	5	32.4430780410767	0	0	0	0
EAS	3	40	1372	5	7.33416604995728	0	0	0	0
EAS	3	41	2903	5	11.9390320777893	0	0	0	0
EAS	3	42	2343	5	13.1692774295807	0	0	0	0
EAS	3	45	1275	5	4.04603624343872	0	0	0	0
EAS	3	48	2457	5	10.3340730667114	0	0	0	0
EAS	3	49	3859	5	13.9348998069763	0	0	0	0
EAS	3	53	3527	5	18.946781873703	0	0	0	0
EAS	3	55	1038	5	8.76911067962646	0	0	0	0
EAS	3	56	1522	5	6.99654245376587	0	0	0	0
EAS	3	60	3315	5	30.9699363708496	0	0	0	0
EAS	3	61	1604	5	8.98619532585144	0	0	0	0
EAS	3	63	6410	5	104.319953918457	0	0	0	0
EAS	3	74	1427	5	3.61951804161072	0	0	0	0
EAS	3	81	1429	5	3.95579552650452	0	0	0	0
EAS	3	88	2587	5	15.8364827632904	0	0	0	0
EAS	3	89	1553	5	4.18485069274902	0	0	0	0
EAS	3	96	1979	5	6.79708385467529	0	0	0	0
EAS	3	99	5403	5	69.0020005702972	0	0	0	0
EAS	3	101	9875	5	184.215995073318	0	0	1	114
EAS	3	108	1584	5	3.10129380226135	0	0	0	0
EAS	3	109	5267	5	58.7913808822632	0	0	0	0
EAS	3	119	4321	5	41.2367360591888	0	0	0	0
EAS	3	120	1912	5	11.1729159355164	0	0	0	0
EAS	3	131	845	5	5.63800096511841	0	0	0	0
EAS	3	140	2835	5	8.21493005752563	0	0	1	93
EAS	3	165	3344	5	27.9015591144562	0	0	0	0
EAS	3	166	8130	5	135.752028226852	0	0	1	149
EAS	3	182	875	5	2.69916558265686	0	0	0	0
EAS	3	185	940	5	3.93451976776123	0	0	0	0
EAS	3	187	2292	5	14.3031568527222	0	0	1	94
EAS	3	193	2530	5	15.3644580841064	0	0	0	0
EAS	3	195	4404	5	33.223751783371	0	0	0	0
EAS	3	204	3270	5	16.7909893989563	0	0	0	0
EAS	3	216	1153	5	4.66298532485962	0	0	0	0
EAS	4	1	6279	5	69.6405177116394	0	0	0	0
EAS	4	4	1687	5	7.18056631088257	0	0	0	0
EAS	4	33	3433	5	37.1306478977203	0	0	0	0
EAS	4	36	1969	5	8.71551966667175	0	0	0	0
EAS	4	37	1466	5	4.45084357261658	0	0	1	5
EAS	4	43	986	5	6.30353403091431	0	0	0	0
EAS	4	46	2380	5	13.2703976631165	0	0	0	0
EAS	4	48	3137	5	14.200697183609	0	0	0	0
EAS	4	52	3649	5	26.8899688720703	0	0	1	265
EAS	4	54	6294	5	69.5443668365479	0	0	0	0
EAS	4	63	5423	5	39.2711977958679	0	0	0	0
EAS	4	64	4178	5	37.8076033592224	0	0	0	0
EAS	4	66	1688	5	8.7035551071167	0	0	0	0
EAS	4	76	3927	5	40.3162024021149	0	0	0	0
EAS	4	77	5186	5	78.9864575862885	0	0	1	52
EAS	4	91	1528	5	3.67996883392334	0	0	0	0
EAS	4	94	1461	5	8.2526159286499	0	0	0	0
EAS	4	97	1552	5	4.26091408729553	0	0	0	0
EAS	4	101	2671	5	17.2079153060913	0	0	0	0
EAS	4	105	2142	5	12.6218490600586	0	0	0	0
EAS	4	114	2942	5	15.4692282676697	0	0	0	0
EAS	4	115	1526	5	3.66036295890808	0	0	0	0
EAS	4	116	2199	5	10.1104967594147	0	0	0	0
EAS	4	117	2165	5	8.53380584716797	0	0	0	0
EAS	4	125	955	5	4.32048797607422	0	0	0	0
EAS	4	129	3094	5	20.6153559684753	0	0	0	0
EAS	4	146	1557	5	6.64458870887756	0	0	0	0
EAS	4	150	3272	5	10.6987965106964	0	0	0	0
EAS	4	155	2490	5	10.9051458835602	0	0	0	0
EAS	4	160	1092	5	4.23669576644897	0	0	0	0
EAS	4	162	2097	5	8.61627650260925	0	0	0	0
EAS	4	173	2865	5	14.1145315170288	0	0	0	0
EAS	4	175	1791	5	4.66536641120911	0	0	0	0
EAS	4	178	1070	5	7.17582893371582	0	0	0	0
EAS	4	183	3783	5	15.4771199226379	0	0	0	0
EAS	4	187	3058	5	19.1818208694458	0	0	0	0
EAS	4	199	447	5	2.94649076461792	0	0	0	0
EAS	5	17	1254	5	6.48706126213074	0	0	0	0
EAS	5	39	2060	5	10.9930346012115	0	0	0	0
EAS	5	57	2285	5	12.2632532119751	0	0	0	0
EAS	5	61	4918	5	60.4247181415558	0	0	0	0
EAS	5	63	7186	5	124.257824897766	0	0	0	0
EAS	5	71	4219	5	29.1474070549011	0	0	0	0
EAS	5	72	3455	5	21.3396706581116	0	0	0	0
EAS	5	74	4616	5	696.41253900528	0	0	0	0
EAS	5	82	1259	5	4.04264068603516	0	0	0	0
EAS	5	85	3596	5	25.9907915592194	0	0	0	0
EAS	5	102	2988	5	9.50286602973938	0	0	0	0
EAS	5	103	1905	5	4.91776752471924	0	0	0	0
EAS	5	104	2102	5	14.2329928874969	0	0	0	0
EAS	5	105	827	5	2.48358058929443	0	0	0	0
EAS	5	112	6508	5	59.5686378479004	0	0	0	0
EAS	5	114	5737	5	53.146721124649	0	0	0	0
EAS	5	115	588	5	3.62177634239197	0	0	0	0
EAS	5	117	1747	5	3.74476933479309	0	0	1	209
EAS	5	119	2521	5	8.6020712852478	0	0	0	0
EAS	5	127	4126	5	21.8069341182709	0	0	0	0
EAS	5	133	1393	5	6.38400530815125	0	1	0	0
EAS	5	135	2277	5	7.03578853607178	0	0	0	0
EAS	5	144	2810	5	16.6058619022369	0	0	0	0
EAS	5	145	3001	5	21.9574692249298	0	0	0	0
EAS	5	146	2770	5	16.9620888233185	0	0	0	0
EAS	5	152	4103	5	27.9351143836975	0	0	0	0
EAS	5	162	4190	5	35.5244929790497	0	0	0	0
EAS	5	163	1845	5	7.63903856277466	0	0	0	0
EAS	5	166	2038	5	8.46193337440491	0	0	0	0
EAS	5	168	2278	5	6.97114157676697	0	0	0	0
EAS	5	171	4129	5	29.9792520999908	0	0	0	0
EAS	5	177	1469	5	3.99082159996033	0	0	0	0
EAS	5	191	2874	5	10.2500631809235	0	0	0	0
EAS	5	198	946	5	4.18768620491028	0	0	0	0
EAS	6	28	1010	5	4.57448410987854	0	0	0	0
EAS	6	35	613	5	3.50077986717224	0	0	0	0
EAS	6	54	2080	5	12.3233327865601	0	0	0	0
EAS	6	57	1517	5	5.75312185287476	0	0	0	0
EAS	6	58	2263	5	5.67515921592712	0	0	0	0
EAS	6	63	1660	5	10.2231090068817	0	0	0	0
EAS	6	71	8694	5	129.968387365341	0	0	0	0
EAS	6	78	12562	5	278.372677564621	0	0	0	0
EAS	6	80	8101	5	88.8570511341095	0	0	0	0
EAS	6	81	4482	5	45.1791820526123	0	0	0	0
EAS	6	87	3665	5	14.0395040512085	0	0	0	0
EAS	6	88	8005	5	98.3064422607422	0	0	0	0
EAS	6	90	378	5	3.15780115127563	0	0	0	0
EAS	6	94	3962	5	35.6666676998138	0	0	0	0
EAS	6	97	2802	5	9.28082013130188	0	0	0	0
EAS	6	104	3372	5	24.8041441440582	0	0	0	0
EAS	6	106	2069	5	8.40780401229858	0	0	0	0
EAS	6	108	717	5	4.04016280174255	0	0	1	49
EAS	6	112	1893	5	7.33042311668396	0	0	0	0
EAS	6	113	2838	5	16.1829605102539	0	0	0	0
EAS	6	115	4950	5	37.0003883838654	0	0	0	0
EAS	6	116	3481	5	29.5067021846771	0	0	0	0
EAS	6	122	1709	5	4.40612936019897	0	0	0	0
EAS	6	124	2413	5	10.7981662750244	0	0	0	0
EAS	6	144	4578	5	35.7534744739532	0	0	0	0
EAS	6	146	1269	5	4.04819798469543	0	0	0	0
EAS	6	149	4642	5	30.970401763916	0	0	0	0
EAS	6	167	1262	5	6.68694710731506	0	0	0	0
EAS	6	169	4779	5	23.1023626327515	0	1	0	0
EAS	6	173	2739	5	11.4909608364105	0	0	0	0
EAS	6	175	1116	5	2.50817894935608	0	0	0	0
EAS	6	177	3732	5	25.2116179466248	0	0	0	0
EAS	7	5	2270	5	17.160897731781	0	0	0	0
EAS	7	6	917	5	3.20562195777893	0	0	0	0
EAS	7	8	3354	5	18.5050039291382	0	0	0	0
EAS	7	17	924	5	1.88490867614746	0	0	0	0
EAS	7	19	807	5	3.86411905288696	0	0	0	0
EAS	7	37	2730	5	10.4458029270172	0	0	0	0
EAS	7	40	3587	5	24.0418047904968	0	0	0	0
EAS	7	41	2095	5	5.85928344726562	0	0	0	0
EAS	7	66	923	5	2.37801384925842	0	0	0	0
EAS	7	67	5217	5	43.4321668148041	0	0	0	0
EAS	7	68	2319	5	11.9811432361603	0	0	0	0
EAS	7	81	2903	5	19.6276748180389	0	0	0	0
EAS	7	83	2116	5	12.1458773612976	0	0	1	60
EAS	7	85	2441	5	7.01761341094971	0	0	0	0
EAS	7	92	2847	5	17.3574936389923	0	0	0	0
EAS	7	97	2211	5	4.87692284584045	0	0	0	0
EAS	7	98	4256	5	37.6938495635986	0	0	0	0
EAS	7	99	4009	5	30.9277579784393	0	0	0	0
EAS	7	111	2673	5	5.48313117027283	0	0	0	0
EAS	7	114	4961	5	29.0109281539917	0	0	1	56
