chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
2	88	19821	9806	16712	5432	7.851	3.532	3.485
2	89	4761	2238	4258	1036	13.74	2.59	3.603
2	90	3993	1948	3547	1250	7.15	3.966	3.131
2	95	4445	2031	3908	1313	6.036	3.674	2.219
2	99	4184	2023	3745	1082	7.092	3.014	1.609
2	115	9616	4027	8448	2652	5.802	3.809	3.607
2	117	5115	2259	4508	1250	4.904	3.875	2.279
2	122	3918	1826	3348	954	11.25	2.754	2.355
2	123	749	300	669	54	5.006	2.238	0.4438
2	124	7089	2894	6305	1715	8.017	4.099	2.413
2	125	5847	2437	5184	1569	6.848	2.62	3.958
2	128	10255	4713	8911	2399	10.85	3.324	2.176
2	131	291	133	266	83	11.66	1.63	1.848
2	132	1111	527	981	283	7.558	4.501	3.354
2	138	8683	4108	7510	2235	3.88	3.196	3.285
2	153	8214	3838	6986	1814	8.005	3.623	2.367
2	159	11616	5345	10172	3979	4.017	3.912	3.055
2	161	8727	4217	7534	2516	6.395	4.418	3.761
2	163	377	176	345	0	8.621	1.479	-Inf
2	164	1696	831	1473	402	7.421	3.685	1.713
2	166	13703	6407	11511	3733	8.029	2.967	2.838
2	168	5973	2662	5116	1554	87.32	3.834	2.349
2	169	6709	2816	5802	2100	6.244	4.666	2.587
2	171	8528	4093	7519	2541	8.336	4.208	3.354
2	174	2030	1030	1858	707	5.832	6.405	2.08
2	176	8154	3802	7052	2565	8.763	4.91	3.333
2	180	5288	2527	4623	1515	10.54	3.729	2.67
2	181	8307	3905	7100	2213	4.364	4.103	2.435
2	184	11067	4853	9583	3316	6.272	3.238	2.232
2	186	8120	4201	6953	2424	7.417	4.146	3.567
2	195	15643	6636	13217	3986	6.316	5.598	2.67
2	197	7188	3290	6156	1975	4.054	3.407	4.539
2	198	5355	2358	4600	1147	9.03	4.3	2.604
2	199	8962	4033	7545	2235	10.5	3.074	3.253
2	201	7247	3393	6288	1907	5.51	3.377	3.364
2	202	1178	630	1029	249	3.536	4.744	2.256
2	205	4125	1959	3573	967	4.564	4.12	2.178
2	210	4282	1913	3888	1272	5.437	3.094	2.3
2	211	6324	3341	5627	1675	4.157	3.312	1.889
2	213	14095	6522	12633	3632	7.418	4.617	3.277
