pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EUR	1	2	76	1.0025175770296586	5500	1.34043502807617	0	1.0158321193981338e-5	1.3186246642745302e-5	1.822222945706175e-5	1.0941062221595644e-5	1.876157931888568e-5	0	0	0	0
EUR	1	5	1193	1.02194817758194	5500	147.883639097214	0.18286792665711715	4.403527367137089e-4	4.486480685066625e-4	1.6623658830979826e-4	4.2959566531249223e-4	1.1621721252860772e-4	0	0	1	8
EUR	1	15	2079	1.022749221975131	5500	304.862194776535	0.11384387201050283	2.6161799011002095e-4	2.5913750313554955e-4	7.480129341439219e-5	2.70193596336189e-4	8.674740039417287e-5	0	0	1	52
EUR	1	17	2665	1.0073035505722954	5500	484.002356529236	0.004285848201843967	3.136474143962449e-4	3.055790949217927e-4	7.86804947427017e-5	3.223194918197492e-4	9.55160747141991e-5	0	0	0	0
EUR	1	32	714	1.0047599480986995	5500	30.5123546123505	0.47469644856591375	1.7929364219734507e-4	1.8996264435411814e-4	8.930738676839737e-5	1.688881016914226e-4	8.040304245179975e-5	0	0	0	0
EUR	1	52	2831	1.0101290752228202	5500	653.698235273361	0.12090679183024133	1.9751592485322433e-4	2.0427535843293559e-4	5.064706771809162e-5	1.9449665620620724e-4	7.594070059818737e-5	0	0	0	0
EUR	1	53	2386	1.0094891469556295	5500	573.673664808273	1.1501503282761147	4.345437493970073e-4	4.6362791789660804e-4	1.2132744411747458e-4	4.288541308429855e-4	1.2017947893132513e-4	0	0	0	0
EUR	1	55	1712	1.0071266329147854	5500	242.140639543533	0.05873145511395439	4.8177388014776387e-4	4.571396872214454e-4	1.437648350374718e-4	4.571014556644037e-4	1.208420200008179e-4	0	1	1	7
EUR	1	63	1412	1.0198189880465078	5500	186.259977817535	1.9801530420915827	3.52962077445027e-4	3.696737422640506e-4	1.1988719960686905e-4	3.5936305577241096e-4	1.1144070554791162e-4	0	0	2	184
EUR	1	68	861	1.0045597749817319	5500	54.1309328079224	0.24945640325644702	1.668706540919205e-4	1.7882804143020745e-4	7.600557946366529e-5	1.6521883803297268e-4	7.43441999608716e-5	0	0	0	0
EUR	1	70	2325	1.004085532999511	5500	373.576580762863	0.5316240980447218	1.5800568874221085e-4	1.6305066541012138e-4	4.439794465558553e-5	1.6757141624411585e-4	6.827616490995059e-5	0	0	0	0
EUR	1	72	1695	1.0071324621842443	5500	260.786221265793	1.0638091965966399	2.5928287992855255e-4	2.758736493972197e-4	8.539201378124889e-5	2.506210056300003e-4	9.260385026410089e-5	0	0	0	0
EUR	1	74	2465	1.0068416936534992	5500	507.168209075928	1.57337076841559	6.077808944220105e-4	6.245775771324727e-4	1.553774277469055e-4	6.175452329406877e-4	1.376502487598537e-4	0	0	0	0
EUR	1	92	2152	1.0064503312463602	5500	328.565473556519	0.7950154285485511	3.4424513131278266e-4	3.582739835802883e-4	9.802493330238902e-5	0.00035584920068452394	1.0399338668721382e-4	0	0	1	109
EUR	1	100	2341	1.0144815343816864	5500	404.357176065445	0.001099473749756214	3.318439457558272e-4	3.337963682570666e-4	9.151236866009662e-5	3.19676796323814e-4	9.732609768483206e-5	0	0	2	69
EUR	1	105	5705	1.0127459117417674	5500	2614.5552880764	0.9289431658277829	9.548174021965762e-4	9.112222028486696e-4	1.6218727676649896e-4	9.696253863745262e-4	1.7100617757286846e-4	0	0	2	260
EUR	1	115	2409	1.0047762757784267	5500	436.513840675354	0.5825340120608817	2.7445912974274027e-4	2.868716209162539e-4	7.558470495209742e-5	2.7805600261385016e-4	8.891888979288831e-5	0	0	0	0
EUR	1	117	1409	1.004603481232647	5500	133.137900352478	0.0016485248707052622	1.3685616953754164e-4	1.404949983306705e-4	4.8974631571579495e-5	1.2294460998036073e-4	5.795874978158272e-5	0	0	0	0
EUR	1	125	4192	1.0170055538985052	5500	1282.7792570591	4.972228574806791e-4	2.0985093408475966e-4	2.0581492850395638e-4	4.412498188965609e-5	2.1459154297855985e-4	7.735979449092238e-5	0	0	1	92
EUR	1	127	2042	1.0315034659288012	5500	353.295092344284	1.034118911736405	4.2326343056545113e-4	4.613307436409026e-4	1.2933343116871543e-4	4.245937199411737e-4	1.266672266554827e-4	0	0	1	50
EUR	1	128	3723	1.0082030325100282	5500	1193.03674864769	2.388552851210294	0.0010093472983860967	0.0011285879352085674	2.2290641952553154e-4	9.879522599311396e-4	1.7793151495275374e-4	0	0	3	409
EUR	1	129	1152	1.0111562540627381	5500	112.606153488159	0.9207783782910188	8.306323413778869e-4	8.30358606909401e-4	2.9342012663984593e-4	8.22536036117969e-4	1.6097370516908476e-4	0	0	1	111
EUR	1	141	1474	1.0031325003183034	5500	172.84518456459	0.01800230252805357	1.5337085381449814e-4	1.5865467235175404e-4	5.3350953325827584e-5	1.5094136705994015e-4	6.776573158663425e-5	0	0	0	0
EUR	1	147	2673	1.0066474910406804	5500	514.648809671402	2.2524086787203257	5.773693021059384e-4	6.15822647590919e-4	1.487348962043212e-4	5.797738029306255e-4	1.3855912487585652e-4	0	0	0	0
EUR	1	154	3942	1.0068793522511241	5500	1310.42052173615	0.31781448442007476	4.0949328089178187e-4	4.0646792854451903e-4	8.707874136643125e-5	4.122395918406079e-4	1.1276685903801695e-4	0	0	1	131
EUR	1	156	2045	1.0080753237693767	5500	307.285577058792	0.31233691094726423	3.1572164651001803e-4	3.2572361603899617e-4	9.487935330225038e-5	3.250457344880948e-4	9.83358184014342e-5	0	0	1	88
