chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
2	97	7387	3007	6469	2180	5.202	4.32	3.112
2	99	4196	2045	3770	889	3.596	3.249	2.706
2	100	5829	2610	5070	945	4.01	3.297	2.388
2	102	4223	1717	3683	806	3.446	3.149	1.936
2	107	9018	4389	7942	2962	4.159	5.038	3.198
2	115	9738	4158	8548	2468	4.27	3.208	4.756
2	121	8754	4054	7707	2235	7.488	2.98	3.537
2	122	3950	1869	3370	974	7.491	4.295	2.776
2	124	7167	2997	6381	1561	8.042	3.6	2.425
2	125	5934	2511	5255	1561	4.766	3.552	2.207
2	127	12169	5795	10601	3094	3.593	2.773	2.904
2	128	10361	4842	8987	2234	22.71	3.548	3.005
2	130	1153	671	988	336	4.313	2.681	2.428
2	131	292	135	270	73	10.64	3.486	1.277
2	138	8766	4226	7590	2170	5.259	3.685	3.479
2	146	8335	3055	7475	2626	13.63	2.89	3.254
2	147	13644	5932	12158	4071	6.631	3.653	3.287
2	152	4917	2501	4208	1219	4.62	5.004	2.554
2	153	8316	3956	7068	1781	4.611	3.872	2.709
2	155	5132	2390	4406	1340	4.495	3.47	2.141
2	162	3175	1338	2783	727	3.779	3.131	1.541
2	163	392	187	356	97	7.709	1.713	0.8304
2	164	1691	835	1472	382	4.226	4.733	2.021
2	166	13878	6603	11660	3626	5.716	3.851	3.553
2	168	6043	2748	5176	1579	5.82	3.32	2.527
2	171	8616	4183	7590	2376	5.986	4.779	2.868
2	172	1779	892	1586	468	27.59	3.244	2.417
2	177	6440	3268	5759	2091	4.919	3.207	3.149
2	180	5356	2606	4686	1402	4.608	3.385	1.855
2	181	8367	3977	7131	1926	4.414	4.607	2.407
2	192	8170	3577	7139	2235	4.015	4.18	1.911
2	196	10236	4633	8929	2464	4.44	4.414	1.942
2	198	5394	2415	4625	1047	3.798	4.301	2.672
2	199	9037	4145	7627	2106	24.81	3.342	2.364
2	205	4184	2022	3614	924	3.86	3.75	1.516
2	208	12787	5305	11200	2549	4.161	3.439	2.326
2	210	4288	1931	3903	1145	3.182	2.783	2.226
2	211	6386	3401	5679	1775	3.563	3.715	1.744
2	212	6557	3267	5720	1778	3.548	2.91	2.618
2	213	14222	6685	12754	3250	7.208	3.488	2.955
2	217	3992	1566	3460	821	5.993	3.727	1.841
2	218	3095	1283	2684	717	4.871	2.545	2.728
2	228	4538	2127	3904	1150	4.815	3.517	2.387
2	232	3051	1617	2738	981	5.725	3.185	2.268
2	233	1501	778	1320	491	3.998	3.266	2.789
2	241	3127	1520	2830	987	4.321	3.584	1.832
2	242	4736	2308	4113	1446	12.2	4.805	2.084
2	250	10329	5103	9223	3292	3.677	2.986	3.675
2	255	5427	2834	4801	1403	3.84	3.438	3.653
3	24	7160	3408	6158	1897	22.81	3.418	3.507
3	41	8494	4380	7666	2229	5.581	3.525	1.817
3	45	3495	1924	3115	1034	2.932	2.937	2.114
3	51	2814	1326	2544	777	17.65	2.917	3.372
3	56	5529	2528	4803	1163	5.638	3.529	2.46
3	70	6531	3044	5899	2100	5.968	4.417	1.996
3	71	8584	3722	7674	1808	13.74	4.244	2.398
3	83	9505	4897	8408	3067	4.458	4.474	3.626
3	88	5908	3043	5134	1944	7.403	2.936	3.092
3	89	6635	3115	5808	1621	5.554	4.475	2.718
3	104	14275	6234	12417	4193	4.533	3.935	2.887
3	107	5796	2655	5125	1520	4.553	3.005	2.163
3	112	6299	3028	5577	1824	3.542	4.652	2.818
3	113	2220	1052	1928	634	3.151	3.041	2.477
3	120	6234	2895	5437	1509	14.17	3.496	2.544
3	121	7664	3600	6511	1786	8.558	3.242	3.759
3	122	1627	757	1447	427	5.484	2.753	2.685
3	123	2528	1208	2279	679	3.617	3.896	3.239
3	127	7921	3398	7015	2228	5.45	3.063	3.594
3	128	3235	1685	2876	675	3.71	3.299	2.741
3	129	3692	1875	3287	1104	3.399	3.516	2.418
3	131	2308	1068	1984	501	4.421	2.822	2.639
3	132	10453	4329	9106	2533	9.247	3.551	2.448
3	135	6230	2742	5639	1797	20.32	3.563	3.584
3	136	3252	1722	2871	904	5.022	3.674	2.689
3	140	8151	3849	6894	1887	5.543	3.999	1.806
3	145	7905	3527	6796	2255	12.9	3.541	3.706
3	149	5522	2420	4998	1542	4.199	3.012	2.743
3	150	6583	3476	5607	1631	4.557	3.68	2.739
3	154	1558	949	1430	566	3.059	3.701	2.668
3	158	7770	3599	6809	2250	4.784	3.808	3.429
3	161	9152	4231	8045	2435	3.804	3.503	4.054
3	165	7255	3104	6297	2178	9.614	3.345	2.741
3	170	4388	2190	3862	1417	3.622	3.163	3.068
3	172	4970	2266	4379	1275	9.356	3.57	3.439
3	173	2911	1450	2623	639	4.491	3.13	2.01
3	175	1968	1112	1763	501	4.256	3.026	2.145
3	190	4084	1771	3664	1086	3.878	3.564	2.327
3	191	4940	2206	4275	1210	5.899	6.9	2.936
3	193	7686	3497	6819	2073	6.922	3.307	2.755
3	195	13020	6820	11532	3672	4.744	5.082	4.438
3	214	8759	3956	7524	2241	5.754	4.128	3.808
3	216	4428	2053	3829	927	5.546	2.93	1.799
4	1	21025	9756	18227	4650	27.03	5.286	3.772
4	15	3061	1547	2778	692	6.585	3.334	2.005
4	19	3110	1647	2789	600	8.304	2.639	3.797
4	21	11407	5227	9990	3405	4.561	5.132	3.331
4	28	5940	2872	5176	1795	5.57	4.193	2.258
4	42	1021	534	901	278	3.858	3.539	1.163
4	54	15136	7322	13668	4860	4.459	3.755	3.267
4	55	6199	2680	5470	1960	5.323	3.423	2.895
4	57	1322	657	1163	283	3.786	3.458	1.966
4	64	10858	4974	9067	2955	4.025	6.02	2.568
4	65	4168	1940	3601	1169	5.489	2.205	2.589
4	66	5570	2491	4853	1315	5.299	4.45	3.068
4	71	2632	1326	2380	850	6.04	3.001	1.55
4	79	5464	2478	4845	1423	5.262	4.008	2.614
4	80	8069	3482	6862	1963	28.94	3.208	3.495
4	84	7512	2986	6683	1725	7.831	3.358	2.844
4	85	2523	1288	2175	752	3.248	2.518	2.782
4	86	532	276	473	171	4.054	2.067	3.404
4	87	10487	4621	9226	2755	7.068	4.033	3.089
4	90	7173	3007	6305	1570	4.942	4.33	2.448
4	92	5804	2470	5187	1469	11.34	3.974	1.85
4	101	8749	3740	7641	2099	7.31	3.731	2.384
4	113	8349	4044	7142	1833	7.082	3.559	2.184
4	114	7631	3636	6572	1999	4.231	4.501	2.751
4	115	3469	1566	3030	993	28.16	2.899	2.092
4	116	6584	2757	5734	1293	8.346	3.055	2.26
4	117	7601	3510	6485	1731	5.946	3.029	2.899
4	121	6094	2502	5330	1659	6.424	3.081	2.562
4	129	8536	3577	7659	2195	5.013	3.165	2.248
4	130	7744	3209	6835	2271	4.865	4.159	3.011
4	134	11774	5436	10444	3463	4.491	4.156	2.812
4	136	10973	4900	9288	2925	5.297	4.294	3.526
4	148	4822	2061	4362	1297	4.875	3.306	2.507
4	150	7776	3004	6788	1848	7.06	3.697	2.785
4	151	3505	1472	2998	585	5.732	4.572	1.62
