pheno	chromosome	block	num_variants_0.9.UKBB.EUR	num_variants_0.9.UKBB_0.1.GLGC.EUR	num_variants_0.9.UKBB.AFR	num_variants_0.9.UKBB_0.1.GLGC.AFR	num_variants_0.9.UKBB.EAS	num_variants_0.9.UKBB_0.1.GLGC.EAS
TC	2	171	1	0	0	0	0	0
TC	2	172	0	0	0	0	0	0
TC	2	177	0	0	0	0	0	0
TC	2	180	0	0	0	0	0	0
TC	2	181	0	0	0	0	0	0
TC	2	192	0	0	0	0	0	0
TC	2	196	0	0	0	0	0	0
TC	2	198	0	0	0	0	0	0
TC	2	199	0	0	0	0	0	0
TC	2	205	0	0	0	0	0	0
TC	2	208	0	0	0	0	0	0
TC	2	210	0	0	0	0	0	0
TC	2	211	0	0	0	0	0	0
TC	2	212	0	0	0	0	0	0
TC	2	213	0	0	0	0	0	0
TC	2	217	0	0	0	0	0	0
TC	2	218	0	0	0	0	0	0
TC	2	228	0	0	0	0	0	0
TC	2	232	1	0	0	0	0	0
TC	2	233	0	0	0	0	0	0
TC	2	241	0	0	0	0	0	0
TC	2	242	0	0	0	0	0	0
TC	2	250	0	0	0	0	0	0
TC	2	255	0	0	0	0	0	0
TC	3	24	1	0	0	0	0	0
TC	3	41	0	0	0	0	0	0
TC	3	45	0	0	0	0	0	0
TC	3	51	0	0	0	0	0	0
TC	3	56	0	0	0	0	0	0
TC	3	70	0	0	0	0	0	0
TC	3	71	0	0	0	0	0	0
TC	3	83	0	0	0	0	0	0
TC	3	88	0	0	0	0	0	0
TC	3	89	0	0	0	0	0	0
TC	3	104	0	0	0	0	0	0
TC	3	107	0	0	0	0	0	0
TC	3	112	0	0	0	0	0	0
TC	3	113	0	0	0	0	0	0
TC	3	120	0	0	0	0	0	0
TC	3	121	0	0	0	0	0	0
TC	3	122	0	0	0	0	0	0
TC	3	123	0	0	0	0	0	0
TC	3	127	0	0	0	0	0	0
TC	3	128	0	0	0	0	0	0
TC	3	129	0	0	0	0	0	0
TC	3	131	0	0	0	0	0	0
TC	3	132	0	0	0	0	0	0
TC	3	135	0	0	0	0	0	0
TC	3	136	0	0	0	0	0	0
TC	3	140	0	0	0	0	0	0
TC	3	145	0	0	0	0	0	0
TC	3	149	0	0	0	0	0	0
TC	3	150	0	0	0	0	0	0
TC	3	154	0	0	0	0	0	0
TC	3	158	0	0	0	0	0	0
TC	3	161	0	0	0	0	0	0
TC	3	165	0	0	0	0	0	0
TC	3	170	0	0	0	0	0	0
TC	3	172	0	0	0	0	0	0
TC	3	173	0	0	0	0	0	0
TC	3	175	0	0	0	0	0	0
TC	3	190	0	0	0	0	0	0
TC	3	191	0	0	0	0	0	0
TC	3	193	0	0	0	0	0	0
TC	3	195	0	0	0	0	0	0
TC	3	214	0	0	0	0	0	0
TC	3	216	0	0	0	0	0	0
TC	4	1	0	0	0	0	0	0
TC	4	15	0	0	0	0	0	0
TC	4	19	0	0	0	0	0	0
TC	4	21	0	0	0	0	0	0
TC	4	28	0	0	0	0	0	0
TC	4	42	0	0	0	0	0	0
TC	4	54	0	0	0	0	0	0
TC	4	55	0	0	0	0	0	0
TC	4	57	0	0	0	0	0	0
TC	4	64	0	0	0	0	0	0
TC	4	65	0	0	0	0	0	0
TC	4	66	0	0	0	0	0	0
TC	4	71	0	0	0	0	0	0
TC	4	79	0	0	0	0	0	0
TC	4	80	0	0	0	0	0	0
TC	4	84	0	0	0	0	0	0
TC	4	85	0	0	0	0	0	0
TC	4	86	0	0	0	0	0	0
TC	4	87	0	0	0	0	0	0
TC	4	90	0	0	0	0	0	0
TC	4	92	0	0	0	0	0	0
TC	4	101	0	0	0	0	0	0
TC	4	113	0	0	0	0	0	0
TC	4	114	0	0	0	0	0	0
TC	4	115	1	0	0	0	0	0
TC	4	116	0	0	0	0	0	0
TC	4	117	0	0	0	0	0	0
TC	4	121	0	0	0	0	0	0
TC	4	129	0	0	0	0	0	0
TC	4	130	0	0	0	0	0	0
TC	4	134	0	0	0	0	0	0
TC	4	136	0	0	0	0	0	0
TC	4	148	0	0	0	0	0	0
TC	4	150	0	0	0	0	0	0
TC	4	151	0	0	0	0	0	0
TC	4	156	0	0	0	0	0	0
TC	4	159	0	0	0	0	0	0
TC	4	161	1	0	0	0	0	0
TC	4	162	0	0	0	0	0	0
TC	4	203	0	0	0	0	0	0
TC	5	6	0	0	0	0	0	0
TC	5	28	0	0	0	0	0	0
TC	5	43	0	0	0	0	0	0
TC	5	56	0	0	0	0	0	0
TC	5	57	0	0	0	0	0	0
TC	5	64	0	0	0	0	0	0
TC	5	68	0	0	0	0	0	0
TC	5	69	0	0	0	0	0	0
TC	5	71	0	0	0	0	0	0
TC	5	74	0	0	0	0	0	0
TC	5	81	0	0	0	0	0	0
TC	5	84	0	0	0	0	0	0
TC	5	85	0	0	0	0	0	0
TC	5	92	0	0	0	0	0	0
TC	5	109	0	0	0	0	0	0
TC	5	130	0	0	0	0	0	0
TC	5	134	0	0	0	0	0	0
TC	5	136	0	0	0	0	0	0
TC	5	146	0	0	0	0	0	0
TC	5	147	0	0	0	0	0	0
TC	5	154	0	0	0	0	0	0
TC	5	156	0	0	0	0	0	0
TC	5	158	0	0	0	0	0	0
TC	5	165	0	0	0	0	0	0
TC	5	166	0	0	0	0	0	0
TC	5	167	0	0	0	0	0	0
TC	5	168	0	0	0	0	0	0
TC	5	191	0	0	0	0	0	0
TC	5	202	0	0	0	0	0	0
TC	5	207	0	0	0	0	0	0
TC	5	210	0	0	0	0	0	0
TC	5	211	0	0	0	0	0	0
TC	6	1	0	0	0	0	0	0
TC	6	19	0	0	0	0	0	0
TC	6	20	0	0	0	0	0	0
TC	6	25	0	0	0	0	0	0
TC	6	27	0	0	0	0	0	0
TC	6	30	0	0	0	0	0	0
TC	6	34	0	0	0	0	0	0
TC	6	35	0	0	0	0	0	0
TC	6	39	0	0	0	0	0	0
TC	6	43	0	0	0	0	0	0
TC	6	44	0	0	0	0	0	0
TC	6	47	0	0	0	0	0	0
TC	6	51	0	0	0	0	0	0
TC	6	52	0	0	0	0	0	0
TC	6	53	0	0	0	0	0	0
TC	6	56	0	0	0	0	0	0
TC	6	58	0	0	0	0	0	0
TC	6	63	0	0	0	0	0	0
TC	6	64	0	0	0	0	0	0
TC	6	65	0	0	0	0	0	0
TC	6	69	0	0	0	0	0	0
TC	6	72	0	0	0	0	0	0
TC	6	73	0	0	0	0	0	0
TC	6	75	0	0	0	0	0	0
TC	6	76	0	0	0	0	0	0
TC	6	85	0	0	0	0	0	0
TC	6	87	0	0	0	0	0	0
TC	6	88	0	0	0	0	0	0
