pheno	pid	chromosome	block	UKBB_nCS	GLGC_nCS	UKBB_in_GLGC	GLGC_in_UKBB
TC	EUR	1	1	0	1	0	0
TC	EUR	1	2	0	1	0	0
TC	EUR	1	4	0	2	0	0
TC	EUR	1	17	0	0	0	0
TC	EUR	1	19	1	1	1	1
TC	EUR	1	35	1	2	1	1
TC	EUR	1	40	0	1	0	0
TC	EUR	1	48	3	4	2	2
TC	EUR	1	49	0	1	0	0
TC	EUR	1	51	1	2	1	1
TC	EUR	1	52	2	2	1	1
TC	EUR	1	53	0	1	0	0
TC	EUR	1	58	0	1	0	0
TC	EUR	1	67	0	0	0	0
TC	EUR	1	70	1	1	0	0
TC	EUR	1	73	0	0	0	0
TC	EUR	1	74	0	0	0	0
TC	EUR	1	75	1	2	0	0
TC	EUR	1	76	1	1	0	0
TC	EUR	1	80	0	0	0	0
TC	EUR	1	81	0	0	0	0
TC	EUR	1	82	0	0	0	0
TC	EUR	1	83	4	9	4	4
TC	EUR	1	84	4	19	3	3
TC	EUR	1	85	1	1	1	1
TC	EUR	1	89	0	0	0	0
TC	EUR	1	92	0	0	0	0
TC	EUR	1	94	0	2	0	0
TC	EUR	1	95	0	0	0	0
TC	EUR	1	96	2	3	1	1
TC	EUR	1	97	1	2	1	1
TC	EUR	1	100	1	1	1	1
TC	EUR	1	109	0	1	0	0
TC	EUR	1	124	1	1	1	1
TC	EUR	1	125	3	6	3	3
TC	EUR	1	127	0	1	0	0
TC	EUR	1	136	0	1	0	0
TC	EUR	1	138	1	1	1	1
TC	EUR	1	139	1	4	1	1
TC	EUR	1	140	0	0	0	0
TC	EUR	1	141	0	1	0	0
TC	EUR	1	144	0	1	0	0
TC	EUR	1	145	0	1	0	0
TC	EUR	1	150	0	0	0	0
TC	EUR	1	151	0	1	0	0
TC	EUR	1	153	0	1	0	0
TC	EUR	1	154	1	5	1	1
TC	EUR	1	156	0	1	0	0
TC	EUR	1	158	0	1	0	0
TC	EUR	1	162	0	1	0	0
TC	EUR	1	168	0	3	0	0
TC	EUR	1	169	0	1	0	0
TC	EUR	1	175	0	1	0	0
TC	EUR	1	182	0	0	0	0
TC	EUR	1	183	0	1	0	0
TC	EUR	1	185	0	0	0	0
TC	EUR	1	187	0	0	0	0
TC	EUR	1	188	0	0	0	0
TC	EUR	1	192	1	1	1	1
TC	EUR	1	201	0	2	0	0
TC	EUR	1	202	1	3	1	1
TC	EUR	1	205	0	0	0	0
TC	EUR	1	209	0	1	0	0
TC	EUR	1	213	0	1	0	0
TC	EUR	1	221	0	1	0	0
TC	EUR	1	223	0	1	0	0
TC	EUR	1	224	0	0	0	0
TC	EUR	1	226	0	3	0	0
TC	EUR	1	229	1	0	0	0
TC	EUR	1	233	0	0	0	0
TC	EUR	1	234	2	2	1	1
TC	EUR	1	235	0	0	0	0
TC	EUR	1	238	2	2	2	2
TC	EUR	1	239	0	1	0	0
TC	EUR	1	240	0	0	0	0
TC	EUR	1	252	2	6	2	2
TC	EUR	1	253	2	3	2	2
TC	EUR	1	254	1	1	1	1
TC	EUR	1	255	0	1	0	0
TC	EUR	1	257	0	1	0	0
TC	EUR	1	280	0	0	0	0
TC	EUR	1	281	0	0	0	0
TC	EUR	2	6	1	1	1	1
TC	EUR	2	21	1	2	1	1
TC	EUR	2	31	0	0	0	0
TC	EUR	2	32	0	0	0	0
TC	EUR	2	37	0	0	0	0
TC	EUR	2	38	0	1	0	0
TC	EUR	2	39	0	0	0	0
TC	EUR	2	40	0	0	0	0
TC	EUR	2	41	2	3	1	1
TC	EUR	2	42	2	1	0	0
TC	EUR	2	43	2	4	1	1
TC	EUR	2	44	9	4	4	4
TC	EUR	2	45	3	12	3	3
TC	EUR	2	46	0	0	0	0
TC	EUR	2	47	0	0	0	0
TC	EUR	2	48	0	4	0	0
TC	EUR	2	49	3	4	3	3
TC	EUR	2	50	0	1	0	0
TC	EUR	2	51	0	0	0	0
TC	EUR	2	53	0	0	0	0
TC	EUR	2	55	0	2	0	0
TC	EUR	2	56	0	0	0	0
TC	EUR	2	66	0	1	0	0
TC	EUR	2	69	0	2	0	0
TC	EUR	2	71	4	9	3	3
TC	EUR	2	72	4	12	3	3
TC	EUR	2	74	0	1	0	0
TC	EUR	2	75	1	1	1	1
TC	EUR	2	77	0	0	0	0
TC	EUR	2	84	0	0	0	0
TC	EUR	2	88	2	5	2	2
TC	EUR	2	89	0	1	0	0
TC	EUR	2	97	0	1	0	0
TC	EUR	2	99	0	0	0	0
TC	EUR	2	100	0	0	0	0
TC	EUR	2	102	0	0	0	0
TC	EUR	2	107	0	1	0	0
TC	EUR	2	115	0	1	0	0
TC	EUR	2	121	1	1	0	0
TC	EUR	2	122	1	1	0	0
TC	EUR	2	124	1	1	1	1
TC	EUR	2	125	0	1	0	0
TC	EUR	2	127	0	1	0	0
TC	EUR	2	128	1	2	1	1
TC	EUR	2	130	0	1	0	0
TC	EUR	2	131	1	1	1	1
TC	EUR	2	138	0	0	0	0
TC	EUR	2	146	1	3	1	1
TC	EUR	2	147	0	1	0	0
TC	EUR	2	152	0	2	0	0
TC	EUR	2	153	0	0	0	0
TC	EUR	2	155	0	0	0	0
TC	EUR	2	162	0	1	0	0
TC	EUR	2	163	2	3	2	2
TC	EUR	2	164	0	1	0	0
TC	EUR	2	166	0	1	0	0
TC	EUR	2	168	0	1	0	0
TC	EUR	2	171	0	1	0	0
TC	EUR	2	172	1	1	1	1
TC	EUR	2	177	0	0	0	0
TC	EUR	2	180	0	0	0	0
TC	EUR	2	181	0	0	0	0
TC	EUR	2	192	0	0	0	0
TC	EUR	2	196	0	0	0	0
TC	EUR	2	198	0	0	0	0
TC	EUR	2	199	1	3	0	0
TC	EUR	2	205	0	1	0	0
TC	EUR	2	208	0	0	0	0
TC	EUR	2	210	0	0	0	0
TC	EUR	2	211	0	0	0	0
TC	EUR	2	212	0	1	0	0
TC	EUR	2	213	1	1	1	1
TC	EUR	2	217	0	2	0	0
TC	EUR	2	218	0	0	0	0
TC	EUR	2	228	0	1	0	0
TC	EUR	2	232	0	2	0	0
TC	EUR	2	233	0	1	0	0
TC	EUR	2	241	0	0	0	0
TC	EUR	2	242	2	4	0	0
TC	EUR	2	250	0	0	0	0
TC	EUR	2	255	0	0	0	0
TC	EUR	3	24	2	4	2	2
TC	EUR	3	41	0	1	0	0
TC	EUR	3	45	0	0	0	0
TC	EUR	3	51	1	1	1	1
TC	EUR	3	56	0	1	0	0
TC	EUR	3	70	0	1	0	0
TC	EUR	3	71	1	2	1	1
TC	EUR	3	83	0	0	0	0
TC	EUR	3	88	1	1	1	1
TC	EUR	3	89	0	0	0	0
TC	EUR	3	104	0	0	0	0
TC	EUR	3	107	0	0	0	0
TC	EUR	3	112	0	0	0	0
TC	EUR	3	113	0	0	0	0
TC	EUR	3	120	2	2	2	2
TC	EUR	3	121	1	2	1	1
TC	EUR	3	122	0	1	0	0
TC	EUR	3	123	0	1	0	0
TC	EUR	3	127	0	3	0	0
TC	EUR	3	128	0	1	0	0
TC	EUR	3	129	0	1	0	0
TC	EUR	3	131	0	0	0	0
TC	EUR	3	132	1	2	1	1
TC	EUR	3	135	1	3	1	1
TC	EUR	3	136	0	1	0	0
TC	EUR	3	140	0	1	0	0
TC	EUR	3	145	1	3	1	1
TC	EUR	3	149	0	1	0	0
TC	EUR	3	150	0	2	0	0
TC	EUR	3	154	0	0	0	0
TC	EUR	3	158	0	1	0	0
TC	EUR	3	161	0	1	0	0
TC	EUR	3	165	1	1	1	1
TC	EUR	3	170	0	0	0	0
TC	EUR	3	172	1	1	1	1
TC	EUR	3	173	0	1	0	0
TC	EUR	3	175	0	2	0	0
TC	EUR	3	190	0	0	0	0
TC	EUR	3	191	0	0	0	0
TC	EUR	3	193	1	3	1	1
TC	EUR	3	195	0	2	0	0
TC	EUR	3	214	0	2	0	0
TC	EUR	3	216	0	0	0	0
TC	EUR	4	1	2	5	2	2
TC	EUR	4	15	1	2	1	1
TC	EUR	4	19	1	1	1	1
TC	EUR	4	21	0	1	0	0
TC	EUR	4	28	0	1	0	0
TC	EUR	4	42	0	1	0	0
TC	EUR	4	54	0	0	0	0
TC	EUR	4	55	0	2	0	0
TC	EUR	4	57	0	2	0	0
TC	EUR	4	64	0	1	0	0
TC	EUR	4	65	0	2	0	0
TC	EUR	4	66	0	1	0	0
TC	EUR	4	71	0	0	0	0
TC	EUR	4	79	0	0	0	0
TC	EUR	4	80	3	7	2	2
TC	EUR	4	84	1	6	0	0
TC	EUR	4	85	0	3	0	0
TC	EUR	4	86	0	2	0	0
TC	EUR	4	87	0	3	0	0
TC	EUR	4	90	0	0	0	0
TC	EUR	4	92	1	0	0	0
TC	EUR	4	101	0	2	0	0
TC	EUR	4	113	1	3	1	1
TC	EUR	4	114	0	1	0	0
TC	EUR	4	115	1	2	1	1
TC	EUR	4	116	0	2	0	0
TC	EUR	4	117	0	0	0	0
TC	EUR	4	121	1	1	1	1
TC	EUR	4	129	0	1	0	0
TC	EUR	4	130	0	1	0	0
TC	EUR	4	134	0	0	0	0
TC	EUR	4	136	0	1	0	0
TC	EUR	4	148	0	1	0	0
TC	EUR	4	150	0	0	0	0
TC	EUR	4	151	0	0	0	0
TC	EUR	4	156	0	2	0	0
TC	EUR	4	159	1	2	1	1
TC	EUR	4	161	1	1	1	1
TC	EUR	4	162	1	1	0	0
TC	EUR	4	203	0	1	0	0
TC	EUR	5	6	0	0	0	0
TC	EUR	5	28	0	1	0	0
TC	EUR	5	43	0	0	0	0
TC	EUR	5	56	0	0	0	0
TC	EUR	5	57	0	0	0	0
TC	EUR	5	64	0	2	0	0
TC	EUR	5	68	0	0	0	0
TC	EUR	5	69	0	1	0	0
TC	EUR	5	71	0	0	0	0
TC	EUR	5	74	0	1	0	0
TC	EUR	5	81	1	3	0	0
TC	EUR	5	84	2	1	1	1
TC	EUR	5	85	2	5	1	1
TC	EUR	5	92	0	0	0	0
TC	EUR	5	109	0	0	0	0
TC	EUR	5	130	1	1	1	1
TC	EUR	5	134	0	0	0	0
TC	EUR	5	136	0	0	0	0
TC	EUR	5	146	0	1	0	0
TC	EUR	5	147	0	1	0	0
TC	EUR	5	154	0	1	0	0
TC	EUR	5	156	1	0	0	0
TC	EUR	5	158	0	1	0	0
