chromosome	block	num_variants	num_variants.EUR	num_variants.EAS	minP.EUR	minP.EAS
19	83	815	783	568	7.077e-7	4.855e-7
19	103	950	921	421	4.56e-6	0.006961
19	108	701	672	532	5.783e-6	5.646e-4
19	111	1210	1149	1033	4.721e-6	0.01794
20	7	1761	1737	1011	1.708e-6	0.01597
20	9	1102	1053	681	3.589e-6	0.009775
20	47	2374	2155	1868	1.489e-4	7.517e-6
20	53	664	530	560	5.138e-6	0.00518
20	61	5667	5202	4407	6.341e-6	0.001898
20	63	3952	3648	3342	8.96e-16	5.244e-5
20	66	2531	2313	1903	0.001139	7.299e-6
20	67	1552	1434	1069	2.495e-8	1.983e-4
20	70	1478	1254	1275	1.906e-6	7.898e-4
20	71	2645	1937	2112	1.001e-6	0.003308
20	77	2448	2169	2215	6.293e-9	0.001506
20	80	111	102	90	3.621e-6	0.1481
20	96	1513	1426	1057	7.495e-6	0.007707
20	114	2188	1969	1327	2.865e-8	0.001341
21	2	476	352	375	9.154e-7	8.693e-5
21	16	1645	1555	1334	2.034e-7	8.42e-4
21	21	523	488	486	3.333e-6	6.343e-4
21	37	1957	1885	1496	3.425e-6	0.01831
21	64	2059	1939	1494	8.651e-7	0.004499
22	9	1531	1353	1121	1.201e-6	8.827e-4
22	13	1023	934	784	2.201e-6	0.00408
22	24	2705	2378	2016	6.952e-6	0.002137
22	29	2476	2082	1673	1.594e-6	0.003868
22	32	1452	1375	1174	7.197e-6	0.007048
22	44	1154	944	897	1.473e-6	9.136e-4
22	45	1806	1553	1100	3.181e-11	0.01361
22	46	4442	3912	3593	3.004e-14	0.001756
22	54	1416	1267	1181	4.685e-6	8.125e-4
22	57	770	770	107	7.36e-6	0.1685
22	61	965	887	684	1.8e-6	0.008198
22	69	1514	1375	1143	3.583e-8	0.01424
