pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
asian	1	2	495	0.0872898101806641	0	0	1	114
asian	1	5	1109	0.283252477645874	0	0	0	0
asian	1	15	1585	0.443190813064575	0	0	0	0
asian	1	17	2112	2.72670340538025	0	0	0	0
asian	1	32	607	0.184211730957031	0	0	0	0
asian	1	52	1937	0.921914339065552	0	0	1	94
asian	1	53	1944	0.682196617126465	0	0	0	0
asian	1	55	1674	1.40699696540833	0	0	0	0
asian	1	63	2018	3.58293199539185	0	0	0	0
asian	1	68	780	0.114429473876953	0	0	0	0
asian	1	70	1671	0.784339189529419	0	0	0	0
asian	1	72	1426	0.546269655227661	0	0	0	0
asian	1	74	2203	1.17690014839172	0	0	0	0
asian	1	92	1861	0.614809274673462	0	0	0	0
asian	1	100	2396	2.50674772262573	0	0	0	0
asian	1	105	5088	10.0874090194702	0	0	0	0
asian	1	115	1911	2.09083914756775	0	0	0	0
asian	1	117	1292	0.278597831726074	0	0	0	0
asian	1	125	3555	4.18698644638062	0	0	0	0
asian	1	127	1723	1.73799872398376	0	0	0	0
asian	1	128	3033	2.23401498794556	0	0	0	0
asian	1	129	838	0.155155420303345	0	0	0	0
asian	1	141	1174	0.690600633621216	0	0	0	0
asian	1	147	1590	0.928643703460693	0	0	0	0
asian	1	154	3001	1.77127552032471	0	0	0	0
asian	1	156	1629	1.44986724853516	0	0	0	0
asian	1	158	1230	0.237601757049561	0	0	0	0
asian	1	166	845	0.262232065200806	0	0	0	0
asian	1	170	2067	0.770020484924316	0	0	0	0
asian	1	175	3040	1.64788389205933	0	0	0	0
asian	1	183	3491	7.42833113670349	0	0	0	0
asian	1	185	958	0.238985300064087	0	0	0	0
asian	1	186	1833	0.539014577865601	0	0	0	0
asian	1	187	2083	0.938796997070312	0	0	0	0
asian	1	188	3098	2.76756548881531	0	0	0	0
asian	1	192	2704	1.38228368759155	0	0	0	0
asian	1	198	5912	12.4500784873962	0	0	0	0
asian	1	201	2148	4.14239144325256	0	0	0	0
asian	1	204	1784	1.95342874526978	0	0	0	0
asian	1	213	1032	0.1519615650177	0	0	0	0
asian	1	216	2104	1.96935367584229	0	0	0	0
asian	1	226	711	0.249470472335815	0	0	0	0
asian	1	232	2612	1.20829796791077	0	0	0	0
asian	1	239	1141	0.527025699615479	0	0	0	0
asian	1	240	5505	15.4100959300995	0	0	0	0
asian	1	243	1190	0.552046298980713	0	0	0	0
asian	1	252	835	0.146883964538574	0	0	0	0
asian	1	262	1877	1.12850952148438	0	0	0	0
asian	1	263	1738	0.618026494979858	0	0	0	0
asian	1	274	2356	2.85221338272095	0	0	0	0
asian	2	4	908	0.12711763381958	0	0	0	0
asian	2	33	2752	3.03206753730774	0	0	0	0
asian	2	38	2061	0.564539432525635	0	0	0	0
asian	2	45	2173	2.0158486366272	0	0	0	0
asian	2	48	1366	0.776334285736084	0	0	0	0
asian	2	49	1765	0.518900632858276	0	0	0	0
asian	2	63	1182	0.204360961914062	0	0	0	0
