chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
1	2	1793	820	1472	92	5.231179350358624	2.650995381114289	0.8721986091865871
1	4	2423	1277	1992	410	12.909309811423082	2.8272170597083632	2.6067762643249557
1	17	7402	3343	6619	1895	5.041036513914438	3.665208309054846	2.1143828409399656
1	19	6286	2679	5388	1293	6.394647312429712	3.1449434897275217	2.6155043562395446
1	23	2057	994	1856	619	6.396393320267547	2.480712701565862	2.0073122669317636
1	35	7590	3121	6558	1520	19.402809122669	3.771601913155748	4.669325069237741
1	40	2409	1268	2184	795	10.703718579997933	2.125095286851261	1.8430742935551985
1	48	2934	1233	2575	696	13.57005233035642	2.8914762105236393	2.486107063973229
1	49	2772	1066	2481	435	5.170372830615802	2.5917260479386703	1.6466600882303946
1	51	2761	1253	2317	609	68.99849316125733	3.770036100022757	7.027459037114644
1	52	7683	3176	6619	1510	65.1407155221496	3.660659929599582	3.274500928151613
1	53	6796	3012	5723	1301	6.889542391341487	4.941354653692014	2.3462031639120693
1	58	7990	3188	6819	1568	7.827371853874371	3.5011985815328988	2.8420433266679774
1	70	5202	2543	4511	1504	7.348704124117691	3.380883388569079	2.4565566247932145
1	73	7320	3261	6384	1804	6.774402402971691	4.822455253288429	3.4036652332845465
1	75	9247	4012	7752	2597	15.723577245223488	3.4706032805543185	4.271422875413599
1	76	4568	1869	3972	1430	5.125000984079918	5.243682430185519	3.3658309473179946
1	78	2805	1244	2455	852	5.788077810294817	3.795609021028264	2.927646174551498
1	80	2654	1184	2349	892	2.6318883119297927	6.932151730587136	3.1423248573152263
1	81	1905	889	1666	605	5.298612566934317	7.54533052848217	2.5436782382998873
1	82	4188	1970	3622	1017	6.306021024654593	5.164388053841138	2.094454145022352
1	83	4847	2368	4259	1632	300.99834671504095	37.77184519844214	3.737294442927386
1	84	7675	3556	6650	2481	1251.04174470393	317.4355424250289	19.071073555200183
1	85	2222	1239	1976	957	24.86952145310899	5.816843867831203	2.4990399788441593
1	88	3976	1969	3502	1284	3.165268201401458	5.33143744550406	2.193990634402081
1	89	4271	1959	3798	1333	3.488826291053986	5.293075126394959	2.5790083107219446
1	92	5104	2564	4457	1463	2.504001741855241	5.2966062421562405	1.9745650517879445
1	94	1213	675	1059	356	9.92677432446616	5.712938511014811	4.0277978020471155
1	96	4597	2274	4153	1352	6.69038879916072	4.373141875467181	3.1128669497177865
1	97	5763	2748	5112	1582	158.22154252468457	20.71262146273136	4.995076855334713
1	100	4621	2143	4064	1655	6.74248717106397	3.838291561100696	4.1691961689098305
1	109	6500	2991	5577	1824	7.7032323011598445	2.68982738152914	3.973287603292897
1	124	7852	3741	6844	2070	7.316800763206266	3.227832210481759	3.363924630613657
1	125	10115	4466	8668	2412	37.4824834854728	23.106709461904792	4.551383923518102
1	136	5824	2553	5068	1303	14.576835937176932	4.739647454192026	2.780892654834266
1	138	7648	3465	6689	1601	1543.08567170487	166.96190423267143	73.9610588703
1	139	1747	893	1513	433	7.19172554276411	2.5033528910434044	2.621471246897116
1	141	2966	1476	2563	755	7.977948261065665	3.866248726016132	2.5928610538057857
1	145	3370	1711	2809	886	6.994624537889909	3.6614386790655726	1.857155073946571
1	147	5393	2696	4581	1273	5.175113916118164	2.8926032306964315	1.8480287756693723
1	150	5702	2630	4926	1707	5.973796290665153	3.006752019070526	2.1403023346181307
1	151	7563	3285	6645	2374	5.38153609554241	2.5918652463635152	2.518418384376772
1	154	10142	3946	8722	2252	19.97639956623097	3.8421514448643	2.8489220942164883
1	158	6406	2620	5387	998	15.625075169065491	3.474484303622373	2.660258263008658
1	162	4873	2107	4256	1177	9.888044402244445	4.703315756232852	6.741649034818343
1	163	3911	1937	3284	1118	6.708492853505681	2.9513783854693463	2.0598424328864486
1	168	6267	2971	5337	1737	10.922527908950611	5.011275811296032	3.112458910801312
1	169	8051	4058	7103	2863	5.128245712168034	3.783079127839404	2.251262718002545
1	175	8167	3927	7083	2312	5.934142795565537	2.9714391979039525	3.304384642305517
1	182	8629	3512	7601	2217	7.919389334880266	2.95892357437337	3.0835086719915754
1	183	8259	3699	7176	2280	9.30550811665565	3.4327952167269284	1.882561680098429
1	187	5534	2531	4677	1544	11.288610455051842	3.8839617070313057	2.109927806672949
1	188	6034	2838	5325	1910	5.0122747748300185	2.9373433285504933	1.9641484866848464
1	189	4304	1966	3739	1084	5.2206716525719825	4.0466661106511665	2.512573398804658
1	191	5904	2690	5189	1581	19.67704142314239	2.9166802608157294	1.8137601051847576
1	192	6096	2752	5202	1786	13.655265979057193	3.5421199022963763	2.4968456700172945
1	201	7461	2900	6278	1847	6.311474159105045	4.175490014794689	5.165884098165466
1	202	5922	2869	5171	1602	10.435160255100016	3.549262019590042	2.576750826882046
1	205	2262	1048	2040	652	2.854132415429826	5.168282967501637	1.987924531852231
1	213	3221	1537	2803	887	6.559297865916244	3.007317217723188	3.1454871771439725
1	214	2762	1378	2494	763	6.28155233881062	2.6513996309743884	3.292266404940809
1	216	6526	2890	5669	1645	5.090660553678623	3.098389542462596	3.205843078151413
1	221	5563	2474	4849	1780	6.04631187385896	3.5998259933569257	2.2640977806489593
1	223	6333	3129	5525	1818	5.374622223750896	2.7405801481880427	2.349519901566362
1	226	2335	1276	1984	665	5.703207250085855	2.3714401736844666	2.674248838834667
1	233	7457	3391	6542	2267	5.51158786582135	4.048688219995217	2.7239366601674915
1	234	8672	3921	7505	2672	62.66366843242535	6.69541365921321	12.227810689178462
1	238	11474	4968	9842	3671	9.597832120265055	3.447091353047848	3.266394301453081
1	239	2757	1376	2309	997	6.272660386087188	3.3117324326581947	2.377695070796807
1	252	2532	1272	2316	732	163.49809412215032	10.319890141908427	10.87355780342577
1	253	918	580	822	210	27.305812671050692	3.6999371237406105	2.1029745928654124
1	254	4618	2227	3999	1156	21.882059760683124	3.107622435840267	3.481140008006385
1	255	2794	1251	2519	930	5.200794778993037	3.6311606240017142	2.0892986738259007
1	280	11414	5124	10099	3098	8.890359576825068	3.4082424120005004	2.7544232173021532
2	6	3100	1476	2716	900	17.07391674788779	2.9592895755133504	3.714550351696377
2	19	885	473	825	300	5.573996100726735	2.306089048628845	1.5244753527445885
2	21	1934	950	1674	351	9.447764698094735	3.2445146012204646	2.128940045497876
2	27	2501	1184	2245	536	5.928774638534507	3.0499065104695364	2.455216208373054
2	34	7090	3502	6265	2092	4.035282086111838	6.707562803869712	2.0877830447317582
2	37	2594	1298	2303	714	3.2452634957852102	8.490307213910425	1.5293849405852051
2	38	5647	2763	4925	1699	9.864457549450064	7.301092348076593	3.0241865024484227
2	39	2529	1208	2296	773	3.232563687380938	6.9785900472466835	2.2429981712728515
2	40	7962	3805	7094	2426	4.342321307736857	8.792959261296676	2.2863254534393804
2	41	3625	1710	3250	1053	25.788790384592048	7.668050722447976	3.566510752018458
2	42	332	198	298	0	5.652391812212391	9.519806582333931	-Inf
2	43	782	394	714	198	18.229380468562383	6.477231782530892	1.2534426971760546
2	44	3836	1686	3342	848	831.5229911934966	61.32707932029185	48.973341671563695
2	45	6906	3325	5978	1802	52.56039264622185	15.203261874316274	3.175248131819276
2	46	3008	1560	2604	879	3.4889546893625507	8.793498624075527	2.326613689467069
2	47	8530	4003	7471	2130	7.42683288729212	9.651318354691142	3.9382673324932225
2	48	5283	2433	4608	1195	11.064096549321096	7.559647415012075	1.9283522063348937
2	49	8341	3445	7290	1487	92.76204772450444	10.521957625903498	6.572320311313693
2	50	4700	2194	4163	1393	4.452456802261134	5.799661417581963	2.5782387389376185
2	51	5322	2709	4755	1508	3.2261997953765102	6.68320709409193	3.524200903239654
2	53	3487	1766	3091	1142	6.0972127010836	3.618237235148558	2.8478475899881386
2	69	6357	3007	5620	1992	8.339508238620793	3.3886782030122085	3.021752929727515
2	71	4968	2355	4440	1183	427.71245875400416	28.17548325198403	2.767859076434532
2	72	8263	4068	7365	2437	50.18321436693151	12.66955517640668	3.3626338356156475
2	74	2763	1444	2491	839	7.130598296342062	3.851705856481603	1.4083784842654066
2	75	3335	1976	2977	1174	14.206284307198231	3.351713414587618	3.767039178855492
2	77	3256	1733	2882	973	6.290480127871059	3.221912697363397	1.8944324950240408
2	84	16536	8205	14498	5562	5.1571597808463	3.0105919373798065	3.5339717315992263
2	86	6476	3207	5708	1886	4.670846495227955	4.1543839884835005	5.937166560840426
2	87	2311	1205	2015	652	6.541523989897306	3.524423448001973	2.7143739813157044
2	88	19849	9816	16740	5422	44.63687119559959	3.7915943159607934	10.160987785236836
2	89	4770	2245	4268	1035	7.410154828842219	3.13552761227402	3.839089571508675
2	97	7289	2906	6392	2248	11.869586103791242	5.845834530563208	3.0130833960718313
2	99	4184	2022	3744	1085	6.562709800724951	4.1010460165082705	3.938931080239235
2	100	5832	2583	5073	994	6.04381208829808	4.220156506872603	3.2567536617506687
2	115	9633	4037	8462	2671	17.036594798800973	3.934287230391848	3.0705870785652727
2	121	8649	3932	7623	2140	25.150293375451536	4.144348287131849	2.741553209161713
2	122	3920	1828	3357	954	5.656995507682964	3.646628469602405	2.5791378196757204
2	124	7100	2897	6304	1728	9.467025679305884	3.6327117652387457	3.13921142930377
2	127	12043	5656	10494	3161	9.681376370503871	4.321553588476058	2.627143289405556
2	128	10283	4728	8920	2387	62.99609965979785	3.4438110035815632	3.750290192546901
2	130	1132	655	972	276	7.633903277617231	4.340193181085215	2.6026596693069566
2	131	290	131	267	87	51.779036329338624	3.6713847264588657	1.8183687404973408
2	138	8695	4124	7521	2245	5.299369622944237	2.979540387701702	3.843793193953308
2	145	3025	1531	2691	1122	2.1706538237579696	5.05450585337705	2.3771847483394533
2	146	8188	2937	7338	2762	19.31710705877936	3.4698547938919564	4.623260242198696
2	147	13401	5711	11956	4142	7.376303583966474	3.384399329778618	3.8686622694621193
2	152	4881	2457	4175	1265	7.886227418805575	2.9160127952318926	1.607706750552079
2	162	3151	1314	2765	739	7.0136111859461625	3.467051549353931	2.5730029650537225
2	163	379	178	346	0	21.008845748953856	4.871778042564246	-Inf
2	166	13723	6414	11540	3739	5.351239221261096	4.406079461908328	1.8716235415551497
2	168	5988	2674	5132	1553	11.767698543534374	4.1072171226162535	2.1158612034532123
2	172	1765	874	1571	551	47.96445550129566	2.7871326848161293	3.905932678597167
2	177	6384	3199	5697	2239	6.310429051130023	2.3672746649716148	3.3984255718568797
2	181	8326	3917	7110	2219	5.077072418556955	4.636899482297178	2.666949603543618
2	184	11099	4850	9623	3330	5.588772826363679	4.954553474305135	2.2920780370641474
2	192	8071	3478	7048	2373	6.2087185682270825	3.1103678319357195	2.655564055120476
2	198	5364	2362	4605	1150	6.702422475088978	3.3346580155648957	1.5072920654083235
2	199	8960	4041	7545	2230	35.839504907895154	3.342689926246491	3.4439311500451386
2	205	4133	1964	3574	978	4.710026353909734	2.450512390892676	5.418943054065018
2	208	12679	5164	11091	2639	5.6092288335264	2.973497582755092	2.0649015794559813
2	212	6489	3197	5673	1817	5.100492350223291	2.2053499262237333	2.9969184020231485
2	213	14110	6541	12646	3643	25.099216052815063	3.5497171435421366	3.673121886725219
2	217	3955	1515	3417	881	7.522892403556507	3.0527599158669294	2.164620812925298
2	232	3022	1571	2710	983	7.288501380010943	4.25973869512269	3.790132369408204
2	237	5602	2726	4890	1452	5.229565954666607	4.123877492452694	2.4980447316356083
2	240	5106	2608	4368	1469	6.589245237107547	2.933303689732727	2.5535681212263825
2	242	4656	2219	4041	1598	23.447398405016735	3.1326024766134126	2.442851644185372
2	250	10275	5026	9156	3445	5.808475908891556	3.808578344606043	3.4312117095062225
2	256	6481	2597	5481	1597	5.306459456123138	3.3550308038451235	4.191449167854059
3	24	7108	3320	6107	2007	47.171158018082416	4.247187706311091	2.6778173231573743
3	41	8406	4295	7590	2430	20.11401238249211	3.5613261447890854	4.190145975783085
3	43	5220	2472	4631	1621	5.788815059179832	4.630299859084734	2.073078879200823
3	51	2814	1299	2523	907	37.93637353745606	7.352454480216121	2.027819815990117
3	56	5511	2485	4792	1245	5.535881514820112	3.471367660819729	3.1670063932779997
3	70	6467	2948	5844	2150	5.132311258973857	2.5892041457994655	2.608736712784581
3	71	8523	3642	7615	1877	45.56712463845038	3.948991335407947	2.249435979134476
3	83	9447	4815	8358	3303	6.511666897579167	2.8747323514543064	2.7853926785966654
3	88	5852	2985	5089	2053	15.39605186371532	3.487873591247765	3.6026932139635166
3	89	6609	3069	5797	1652	6.704480674458442	3.7011141104324023	2.7218646029996556
3	104	14056	5996	12234	4315	7.858978144511059	3.5096331093922752	3.3322886970839156
3	107	5722	2592	5065	1602	5.159129927973362	3.772828701799813	2.723202565912038
3	109	12936	5518	11353	3425	5.47333751668138	3.879425536550567	2.825233396904503
3	120	6151	2789	5358	1614	17.02467846401496	3.172519704866384	3.0439373907385714
3	121	7540	3467	6403	1922	20.396672430648103	3.402173191487441	4.103602822727231
3	122	1608	727	1429	493	6.804369018023624	4.487504027683903	2.626589051449717
3	123	2507	1188	2258	655	8.25240674841347	2.6236034435358286	2.362932880321053
3	125	6541	3025	5709	2051	2.574342499645957	5.161408094624853	2.5434008842141074
3	127	7837	3298	6931	2388	14.058421458492916	4.808829446250091	2.575202968125885
3	128	3199	1646	2851	703	5.153547705263728	3.2947396539679294	1.995814521147429
3	129	3632	1819	3235	1107	8.989659532718825	3.8801995234957154	3.5898243394382945
3	132	10361	4214	9026	2595	15.583156488611026	4.176573980531372	4.062887188965948
3	135	6139	2636	5546	1926	35.49365704092158	4.081995457989057	3.1510435503531427
3	140	8056	3739	6801	1968	14.074389439023534	3.814150156942661	2.4490293766733724
3	145	7802	3426	6700	2318	16.567366092274575	3.05758886496875	2.4901959150534743
3	148	6788	2962	5962	1815	5.120098007920678	3.1118131279640133	1.8352224466910545
3	149	5433	2341	4927	1602	5.4638369958829545	3.3059027057981876	2.6984940228526693
3	150	6507	3378	5539	1590	6.534696233847886	3.3565133560269342	1.9767632489122744
3	154	1539	928	1407	575	5.45244678203117	3.1136821007357245	2.259422440297748
3	155	6234	3060	5451	1771	5.256684757717712	2.945144930363342	3.063713858441682
3	158	7676	3501	6737	2350	5.268194254606061	2.6535619281271527	2.741145513186503
3	159	6359	2829	5503	1618	5.414453754512721	2.8564484741993352	2.058012152835226
3	161	9038	4120	7943	2536	9.0138010811135	4.0727183657665655	2.80941106309
3	165	7122	2967	6166	2273	16.52266977803884	3.6794239464356	2.756634679899221
3	166	14371	6191	12444	4193	2.960583128372972	4.129507173545414	5.0401378910843535
3	172	4925	2211	4335	1346	7.092441798939188	4.197407117045175	3.0744891210480563
