pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EUR	1	2	76	6.40669751167297	0	0	0	0
EUR	1	5	1193	36.9757916927338	0	0	1	5
EUR	1	15	2079	207.274116277695	0	0	1	41
EUR	1	17	2665	372.43699836731	0	0	1	36
EUR	1	32	714	45.3292965888977	0	0	0	0
EUR	1	52	2831	198.066939115524	0	0	0	0
EUR	1	53	2386	341.470333576202	0	0	1	15
EUR	1	55	1712	104.715726137161	0	0	1	7
EUR	1	63	1412	536.694497108459	0	0	0	0
EUR	1	68	861	113.908267974854	0	0	1	71
EUR	1	70	2325	233.001759529114	0	0	0	0
EUR	1	72	1695	166.83367562294	0	0	0	0
EUR	1	74	2465	280.18630361557	0	0	1	8
EUR	1	92	2152	547.225901126862	0	0	0	0
EUR	1	100	2341	403.436205387115	0	0	1	17
EUR	1	105	5705	9206.0064740181	0	0	2	209
EUR	1	115	2409	293.825904130936	0	0	1	51
EUR	1	117	1409	120.601675510406	0	0	0	0
EUR	1	125	4192	194.870965957642	0	0	1	60
EUR	1	127	2042	575.244645595551	0	0	1	7
EUR	1	128	3723	3273.10615777969	0	0	2	147
EUR	1	129	1152	189.983909130096	0	0	1	15
EUR	1	141	1474	45.6242883205414	0	0	0	0
EUR	1	147	2673	808.974511623383	0	1	0	0
EUR	1	154	3942	585.983419179916	0	0	1	136
EUR	1	156	2045	412.975604295731	0	0	1	56
EUR	1	158	1720	323.500952720642	0	1	0	0
EUR	1	166	671	102.474471569061	0	0	1	59
EUR	1	170	2077	175.009886741638	0	0	1	50
EUR	1	175	3433	1050.93000245094	0	0	0	0
EUR	1	183	4530	1217.46424484253	0	0	1	174
EUR	1	185	1185	145.345705032349	0	0	1	50
EUR	1	186	2487	378.675374746323	0	0	1	6
EUR	1	187	2314	300.388417243958	0	1	1	2
EUR	1	188	3552	1172.32272434235	0	0	0	0
EUR	1	192	2649	556.904401779175	0	1	0	0
EUR	1	198	6148	824.599622249603	0	0	0	0
EUR	1	201	2828	684.337084293365	0	0	0	0
EUR	1	204	2056	552.85147023201	0	0	2	60
EUR	1	213	1342	242.911088943481	0	0	0	0
EUR	1	216	2359	546.194480895996	0	0	0	0
EUR	1	226	760	53.105361700058	0	1	0	0
EUR	1	232	3636	372.581460952759	0	0	0	0
EUR	1	239	1085	82.7793710231781	0	0	0	0
